condition,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off,31,4,RESOURCE_TAKEN,0,2,0
off,31,5,TIMEOUT,0,3,1
off,31,6,PARTNER_RESCUED,1,3,0
off,31,7,PARTNER_RESCUED,1,3,0
off,31,8,TIMEOUT,0,4,2
off,31,9,TIMEOUT,0,5,2
off,32,0,PARTNER_RESCUED,1,1,0
off,32,1,PARTNER_RESCUED,1,1,0
off,32,2,PARTNER_RESCUED,1,1,0
off,32,3,TIMEOUT,0,2,0
off,32,4,TIMEOUT,0,3,2
off,32,5,TIMEOUT,0,4,2
off,32,6,TIMEOUT,0,5,0
off,32,7,TIMEOUT,0,6,0
off,32,8,TIMEOUT,0,7,2
off,32,9,TIMEOUT,0,8,0
off,33,0,PARTNER_RESCUED,1,1,0
off,33,1,PARTNER_RESCUED,1,1,0
off,33,2,PARTNER_RESCUED,1,1,0
off,33,3,TIMEOUT,0,2,0
off,33,4,TIMEOUT,0,3,0
off,33,5,TIMEOUT,0,4,2
off,33,6,TIMEOUT,0,5,1
off,33,7,TIMEOUT,0,6,0
off,33,8,TIMEOUT,0,7,2
off,33,9,RESOURCE_TAKEN,0,8,0
off,34,0,PARTNER_RESCUED,1,1,0
off,34,1,PARTNER_RESCUED,1,1,0
off,34,2,TIMEOUT,0,2,1
off,34,3,TIMEOUT,0,3,0
off,34,4,TIMEOUT,0,4,1
off,34,5,TIMEOUT,0,5,2
off,34,6,TIMEOUT,0,6,1
off,34,7,TIMEOUT,0,7,1
off,34,8,RESOURCE_TAKEN,0,8,0
off,34,9,PARTNER_RESCUED,1,8,0
off,35,0,PARTNER_RESCUED,1,1,0
off,35,1,PARTNER_RESCUED,1,1,0
off,35,2,PARTNER_RESCUED,1,1,0
off,35,3,TIMEOUT,0,2,2
off,35,4,RESOURCE_TAKEN,0,3,0
off,35,5,PARTNER_RESCUED,1,3,0
off,35,6,PARTNER_RESCUED,1,3,0
off,35,7,TIMEOUT,0,4,1
off,35,8,TIMEOUT,0,5,0
off,35,9,TIMEOUT,0,6,2
off,36,0,PARTNER_RESCUED,1,1,0
off,36,1,PARTNER_RESCUED,1,1,0
off,36,2,TIMEOUT,0,2,1
off,36,3,TIMEOUT,0,3,1
off,36,4,TIMEOUT,0,4,1
off,36,5,TIMEOUT,0,5,0
off,36,6,TIMEOUT,0,6,1
off,36,7,TIMEOUT,0,7,1
off,36,8,TIMEOUT,0,8,1
off,36,9,TIMEOUT,0,9,2
off,37,0,PARTNER_RESCUED,1,1,0
off,37,1,PARTNER_RESCUED,1,1,0
off,37,2,PARTNER_RESCUED,1,1,0
off,37,3,PARTNER_RESCUED,1,1,0
off,37,4,RESOURCE_TAKEN,0,2,0
off,37,5,PARTNER_RESCUED,1,2,0
off,37,6,PARTNER_RESCUED,1,2,0
off,37,7,TIMEOUT,0,3,1
off,37,8,TIMEOUT,0,4,0
off,37,9,RESOURCE_TAKEN,0,5,0
off,38,0,TIMEOUT,0,2,0
off,38,1,TIMEOUT,0,3,1
off,38,2,TIMEOUT,0,4,1
off,38,3,TIMEOUT,0,5,1
off,38,4,TIMEOUT,0,6,2
off,38,5,TIMEOUT,0,7,2
off,38,6,TIMEOUT,0,8,0
off,38,7,TIMEOUT,0,9,2
off,38,8,TIMEOUT,0,10,0
off,38,9,TIMEOUT,0,11,0
off,39,0,PARTNER_RESCUED,1,1,0
off,39,1,TIMEOUT,0,2,1
off,39,2,TIMEOUT,0,3,0
off,39,3,TIMEOUT,0,4,0
off,39,4,TIMEOUT,0,5,3
off,39,5,TIMEOUT,0,6,2
off,39,6,TIMEOUT,0,7,1
off,39,7,TIMEOUT,0,8,2
off,39,8,RESOURCE_TAKEN,0,9,2
off,39,9,PARTNER_RESCUED,1,9,0
off,40,0,PARTNER_RESCUED,1,1,0
off,40,1,PARTNER_RESCUED,1,1,0
off,40,2,PARTNER_RESCUED,1,1,0
off,40,3,TIMEOUT,0,2,0
off,40,4,TIMEOUT,0,3,1
off,40,5,TIMEOUT,0,4,0
off,40,6,TIMEOUT,0,5,0
off,40,7,RESOURCE_TAKEN,0,6,0
off,40,8,PARTNER_RESCUED,1,6,0
off,40,9,PARTNER_RESCUED,1,6,0
off,41,0,PARTNER_RESCUED,1,1,0
off,41,1,TIMEOUT,0,2,1
off,41,2,TIMEOUT,0,3,2
off,41,3,TIMEOUT,0,4,0
off,41,4,TIMEOUT,0,5,1
off,41,5,TIMEOUT,0,6,1
off,41,6,TIMEOUT,0,7,0
off,41,7,TIMEOUT,0,8,0
off,41,8,TIMEOUT,0,9,0
off,41,9,TIMEOUT,0,10,1
off,42,0,TIMEOUT,0,2,1
off,42,1,TIMEOUT,0,3,0
off,42,2,TIMEOUT,0,4,0
off,42,3,TIMEOUT,0,5,1
off,42,4,RESOURCE_TAKEN,0,6,0
off,42,5,PARTNER_RESCUED,1,6,0
off,42,6,TIMEOUT,0,7,1
off,42,7,PARTNER_RESCUED,1,7,0
off,42,8,TIMEOUT,0,8,1
off,42,9,TIMEOUT,0,9,1
off,43,0,PARTNER_RESCUED,1,1,0
off,43,1,PARTNER_RESCUED,1,1,0
off,43,2,PARTNER_RESCUED,1,1,0
off,43,3,PARTNER_RESCUED,1,1,0
off,43,4,RESOURCE_TAKEN,0,2,0
off,43,5,PARTNER_RESCUED,1,2,0
off,43,6,TIMEOUT,0,3,1
off,43,7,TIMEOUT,0,4,1
off,43,8,TIMEOUT,0,5,1
off,43,9,TIMEOUT,0,6,2
off,44,0,PARTNER_RESCUED,1,1,0
off,44,1,TIMEOUT,0,2,1
off,44,2,TIMEOUT,0,3,2
off,44,3,TIMEOUT,0,4,1
off,44,4,TIMEOUT,0,5,0
off,44,5,TIMEOUT,0,6,2
off,44,6,TIMEOUT,0,7,2
off,44,7,TIMEOUT,0,8,2
off,44,8,TIMEOUT,0,9,0
off,44,9,TIMEOUT,0,10,2
off,45,0,PARTNER_RESCUED,1,1,0
off,45,1,PARTNER_RESCUED,1,1,0
off,45,2,TIMEOUT,0,2,1
off,45,3,TIMEOUT,0,3,1
off,45,4,TIMEOUT,0,4,2
off,45,5,TIMEOUT,0,5,1
off,45,6,TIMEOUT,0,6,0
off,45,7,TIMEOUT,0,7,2
off,45,8,TIMEOUT,0,8,0
off,45,9,TIMEOUT,0,9,2
off,46,0,PARTNER_RESCUED,1,1,0
off,46,1,PARTNER_RESCUED,1,1,0
off,46,2,TIMEOUT,0,2,1
off,46,3,TIMEOUT,0,3,2
off,46,4,TIMEOUT,0,4,1
off,46,5,TIMEOUT,0,5,1
off,46,6,TIMEOUT,0,6,2
off,46,7,TIMEOUT,0,7,1
off,46,8,TIMEOUT,0,8,0
off,46,9,TIMEOUT,0,9,1
off,47,0,PARTNER_RESCUED,1,1,0
off,47,1,PARTNER_RESCUED,1,1,0
off,47,2,PARTNER_RESCUED,1,1,0
off,47,3,TIMEOUT,0,2,1
off,47,4,TIMEOUT,0,3,2
off,47,5,TIMEOUT,0,4,1
off,47,6,TIMEOUT,0,5,1
off,47,7,TIMEOUT,0,6,2
off,47,8,TIMEOUT,0,7,0
off,47,9,TIMEOUT,0,8,1
off,48,0,PARTNER_RESCUED,1,1,0
off,48,1,PARTNER_RESCUED,1,1,0
off,48,2,PARTNER_RESCUED,1,1,0
off,48,3,TIMEOUT,0,2,1
off,48,4,TIMEOUT,0,3,0
off,48,5,TIMEOUT,0,4,0
off,48,6,RESOURCE_TAKEN,0,5,0
off,48,7,PARTNER_RESCUED,1,5,0
off,48,8,PARTNER_RESCUED,1,5,0
off,48,9,PARTNER_RESCUED,1,5,0
off,49,0,PARTNER_RESCUED,1,1,0
off,49,1,PARTNER_RESCUED,1,1,0
off,49,2,PARTNER_RESCUED,1,1,0
