kappa,agent_id,episode_idx,outcome,steps_used,target_switches,n_memories
0.25,28,5,TIMEOUT,12,1,7
0.25,28,6,TIMEOUT,12,2,8
0.25,28,7,RESOURCE_TAKEN,12,0,9
0.25,28,8,TIMEOUT,12,1,10
0.25,28,9,TIMEOUT,12,0,11
0.25,29,0,RESOURCE_TAKEN,11,0,2
0.25,29,1,TIMEOUT,12,0,3
0.25,29,2,TIMEOUT,12,2,4
0.25,29,3,TIMEOUT,12,1,5
0.25,29,4,RESOURCE_TAKEN,9,0,6
0.25,29,5,TIMEOUT,12,2,7
0.25,29,6,RESOURCE_TAKEN,12,0,8
0.25,29,7,TIMEOUT,12,1,9
0.25,29,8,RESOURCE_TAKEN,9,0,10
0.25,29,9,TIMEOUT,12,0,11
0.25,30,0,TIMEOUT,12,1,2
0.25,30,1,TIMEOUT,12,0,3
0.25,30,2,RESOURCE_TAKEN,6,0,4
0.25,30,3,TIMEOUT,12,2,5
0.25,30,4,TIMEOUT,12,2,6
0.25,30,5,TIMEOUT,12,0,7
0.25,30,6,RESOURCE_TAKEN,10,0,8
0.25,30,7,TIMEOUT,12,2,9
0.25,30,8,TIMEOUT,12,2,10
0.25,30,9,RESOURCE_TAKEN,9,0,11
0.25,31,0,TIMEOUT,12,1,2
0.25,31,1,TIMEOUT,12,0,3
0.25,31,2,TIMEOUT,12,0,4
0.25,31,3,TIMEOUT,12,0,5
0.25,31,4,TIMEOUT,12,0,6
0.25,31,5,TIMEOUT,12,0,7
0.25,31,6,RESOURCE_TAKEN,10,0,8
0.25,31,7,TIMEOUT,12,0,9
0.25,31,8,TIMEOUT,12,2,10
0.25,31,9,TIMEOUT,12,0,11
0.25,32,0,TIMEOUT,12,0,2
0.25,32,1,TIMEOUT,12,0,3
0.25,32,2,TIMEOUT,12,0,4
0.25,32,3,RESOURCE_TAKEN,9,0,5
0.25,32,4,TIMEOUT,12,2,6
0.25,32,5,TIMEOUT,12,1,7
0.25,32,6,TIMEOUT,12,1,8
0.25,32,7,TIMEOUT,12,1,9
0.25,32,8,TIMEOUT,12,0,10
0.25,32,9,RESOURCE_TAKEN,9,0,11
0.25,33,0,TIMEOUT,12,2,2
0.25,33,1,RESOURCE_TAKEN,11,0,3
0.25,33,2,TIMEOUT,12,0,4
0.25,33,3,TIMEOUT,12,0,5
0.25,33,4,TIMEOUT,12,0,6
0.25,33,5,RESOURCE_TAKEN,11,0,7
0.25,33,6,TIMEOUT,12,1,8
0.25,33,7,TIMEOUT,12,2,9
0.25,33,8,RESOURCE_TAKEN,10,0,10
0.25,33,9,TIMEOUT,12,0,11
0.25,34,0,PARTNER_RESCUED,7,0,2
0.25,34,1,RESOURCE_TAKEN,8,0,3
0.25,34,2,TIMEOUT,12,1,4
0.25,34,3,TIMEOUT,12,2,5
0.25,34,4,TIMEOUT,12,1,6
0.25,34,5,RESOURCE_TAKEN,10,0,7
0.25,34,6,TIMEOUT,12,1,8
0.25,34,7,TIMEOUT,12,2,9
0.25,34,8,TIMEOUT,12,0,10
0.25,34,9,RESOURCE_TAKEN,12,0,11
0.25,35,0,TIMEOUT,12,0,2
0.25,35,1,TIMEOUT,12,2,3
0.25,35,2,TIMEOUT,12,0,4
0.25,35,3,TIMEOUT,12,0,5
0.25,35,4,TIMEOUT,12,2,6
0.25,35,5,RESOURCE_TAKEN,7,0,7
0.25,35,6,TIMEOUT,12,1,8
0.25,35,7,TIMEOUT,12,0,9
0.25,35,8,TIMEOUT,12,2,10
0.25,35,9,RESOURCE_TAKEN,11,1,11
