kappa,softmax_temp,agent_id,outcome,rescued,resource,partner_dead,timeout,steps_used,target_switches
0.1,0.6,53,TIMEOUT,0,0,0,1,12,0
0.1,0.6,54,TIMEOUT,0,0,0,1,12,2
0.1,0.6,55,TIMEOUT,0,0,0,1,12,3
0.1,0.6,56,TIMEOUT,0,0,0,1,12,0
0.1,0.6,57,TIMEOUT,0,0,0,1,12,0
0.1,0.6,58,TIMEOUT,0,0,0,1,12,3
0.1,0.6,59,TIMEOUT,0,0,0,1,12,1
0.25,0.01,0,TIMEOUT,0,0,0,1,12,2
0.25,0.01,1,TIMEOUT,0,0,0,1,12,2
0.25,0.01,2,TIMEOUT,0,0,0,1,12,2
0.25,0.01,3,TIMEOUT,0,0,0,1,12,1
0.25,0.01,4,TIMEOUT,0,0,0,1,12,1
0.25,0.01,5,TIMEOUT,0,0,0,1,12,2
0.25,0.01,6,TIMEOUT,0,0,0,1,12,1
0.25,0.01,7,TIMEOUT,0,0,0,1,12,2
0.25,0.01,8,TIMEOUT,0,0,0,1,12,1
0.25,0.01,9,TIMEOUT,0,0,0,1,12,1
0.25,0.01,10,TIMEOUT,0,0,0,1,12,2
0.25,0.01,11,TIMEOUT,0,0,0,1,12,1
0.25,0.01,12,TIMEOUT,0,0,0,1,12,2
0.25,0.01,13,TIMEOUT,0,0,0,1,12,2
0.25,0.01,14,TIMEOUT,0,0,0,1,12,2
0.25,0.01,15,TIMEOUT,0,0,0,1,12,2
0.25,0.01,16,TIMEOUT,0,0,0,1,12,2
0.25,0.01,17,TIMEOUT,0,0,0,1,12,2
0.25,0.01,18,TIMEOUT,0,0,0,1,12,2
0.25,0.01,19,TIMEOUT,0,0,0,1,12,1
0.25,0.01,20,TIMEOUT,0,0,0,1,12,2
0.25,0.01,21,TIMEOUT,0,0,0,1,12,2
0.25,0.01,22,TIMEOUT,0,0,0,1,12,2
0.25,0.01,23,TIMEOUT,0,0,0,1,12,2
0.25,0.01,24,TIMEOUT,0,0,0,1,12,2
0.25,0.01,25,TIMEOUT,0,0,0,1,12,2
0.25,0.01,26,TIMEOUT,0,0,0,1,12,2
0.25,0.01,27,TIMEOUT,0,0,0,1,12,2
0.25,0.01,28,TIMEOUT,0,0,0,1,12,2
0.25,0.01,29,TIMEOUT,0,0,0,1,12,2
0.25,0.01,30,TIMEOUT,0,0,0,1,12,2
0.25,0.01,31,TIMEOUT,0,0,0,1,12,1
0.25,0.01,32,TIMEOUT,0,0,0,1,12,2
0.25,0.01,33,TIMEOUT,0,0,0,1,12,2
0.25,0.01,34,TIMEOUT,0,0,0,1,12,2
0.25,0.01,35,TIMEOUT,0,0,0,1,12,2
0.25,0.01,36,TIMEOUT,0,0,0,1,12,2
0.25,0.01,37,TIMEOUT,0,0,0,1,12,1
0.25,0.01,38,TIMEOUT,0,0,0,1,12,2
0.25,0.01,39,TIMEOUT,0,0,0,1,12,2
0.25,0.01,40,TIMEOUT,0,0,0,1,12,1
0.25,0.01,41,TIMEOUT,0,0,0,1,12,2
0.25,0.01,42,TIMEOUT,0,0,0,1,12,1
0.25,0.01,43,TIMEOUT,0,0,0,1,12,1
0.25,0.01,44,TIMEOUT,0,0,0,1,12,2
0.25,0.01,45,TIMEOUT,0,0,0,1,12,2
0.25,0.01,46,TIMEOUT,0,0,0,1,12,2
0.25,0.01,47,TIMEOUT,0,0,0,1,12,2
0.25,0.01,48,TIMEOUT,0,0,0,1,12,2
