seed_group,agent_id,episode_idx,outcome,rescued
1,16,5,PARTNER_DEAD,0
1,16,6,PARTNER_RESCUED,1
1,16,7,PARTNER_RESCUED,1
1,16,8,PARTNER_RESCUED,1
1,16,9,PARTNER_RESCUED,1
1,17,0,PARTNER_RESCUED,1
1,17,1,PARTNER_RESCUED,1
1,17,2,TIMEOUT,0
1,17,3,PARTNER_RESCUED,1
1,17,4,PARTNER_RESCUED,1
1,17,5,PARTNER_RESCUED,1
1,17,6,PARTNER_RESCUED,1
1,17,7,PARTNER_RESCUED,1
1,17,8,PARTNER_RESCUED,1
1,17,9,TIMEOUT,0
1,18,0,PARTNER_RESCUED,1
1,18,1,PARTNER_RESCUED,1
1,18,2,PARTNER_RESCUED,1
1,18,3,PARTNER_RESCUED,1
1,18,4,PARTNER_RESCUED,1
1,18,5,PARTNER_RESCUED,1
1,18,6,PARTNER_RESCUED,1
1,18,7,PARTNER_RESCUED,1
1,18,8,PARTNER_RESCUED,1
1,18,9,PARTNER_RESCUED,1
1,19,0,PARTNER_RESCUED,1
1,19,1,TIMEOUT,0
1,19,2,TIMEOUT,0
1,19,3,PARTNER_RESCUED,1
1,19,4,PARTNER_RESCUED,1
1,19,5,PARTNER_RESCUED,1
1,19,6,PARTNER_RESCUED,1
1,19,7,PARTNER_RESCUED,1
1,19,8,PARTNER_RESCUED,1
1,19,9,PARTNER_RESCUED,1
1,20,0,PARTNER_RESCUED,1
1,20,1,PARTNER_RESCUED,1
1,20,2,PARTNER_RESCUED,1
1,20,3,PARTNER_RESCUED,1
1,20,4,TIMEOUT,0
1,20,5,TIMEOUT,0
1,20,6,PARTNER_RESCUED,1
1,20,7,PARTNER_RESCUED,1
1,20,8,PARTNER_RESCUED,1
1,20,9,PARTNER_RESCUED,1
1,21,0,PARTNER_RESCUED,1
1,21,1,PARTNER_RESCUED,1
1,21,2,PARTNER_RESCUED,1
1,21,3,PARTNER_RESCUED,1
1,21,4,PARTNER_RESCUED,1
1,21,5,PARTNER_RESCUED,1
1,21,6,PARTNER_RESCUED,1
1,21,7,PARTNER_RESCUED,1
1,21,8,PARTNER_RESCUED,1
1,21,9,PARTNER_RESCUED,1
1,22,0,PARTNER_RESCUED,1
1,22,1,TIMEOUT,0
1,22,2,PARTNER_RESCUED,1
1,22,3,PARTNER_RESCUED,1
1,22,4,PARTNER_RESCUED,1
1,22,5,PARTNER_RESCUED,1
1,22,6,TIMEOUT,0
1,22,7,TIMEOUT,0
1,22,8,PARTNER_RESCUED,1
1,22,9,PARTNER_RESCUED,1
1,23,0,PARTNER_RESCUED,1
1,23,1,PARTNER_RESCUED,1
1,23,2,TIMEOUT,0
1,23,3,PARTNER_RESCUED,1
1,23,4,PARTNER_RESCUED,1
1,23,5,PARTNER_RESCUED,1
1,23,6,TIMEOUT,0
1,23,7,PARTNER_RESCUED,1
1,23,8,PARTNER_RESCUED,1
1,23,9,PARTNER_RESCUED,1
1,24,0,PARTNER_RESCUED,1
