rescue_importance,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.0,46,1,PARTNER_RESCUED,1,3,0
0.0,46,2,TIMEOUT,0,4,1
0.0,46,3,TIMEOUT,0,5,0
0.0,46,4,TIMEOUT,0,6,1
0.0,46,5,TIMEOUT,0,7,0
0.0,46,6,TIMEOUT,0,8,0
0.0,46,7,TIMEOUT,0,9,1
0.0,46,8,TIMEOUT,0,10,0
0.0,46,9,RESOURCE_TAKEN,0,11,0
0.0,47,0,PARTNER_RESCUED,1,2,0
0.0,47,1,PARTNER_RESCUED,1,3,0
0.0,47,2,TIMEOUT,0,4,2
0.0,47,3,TIMEOUT,0,5,0
0.0,47,4,TIMEOUT,0,6,2
0.0,47,5,TIMEOUT,0,7,1
0.0,47,6,TIMEOUT,0,8,0
0.0,47,7,TIMEOUT,0,9,2
0.0,47,8,TIMEOUT,0,10,1
0.0,47,9,TIMEOUT,0,11,2
0.0,48,0,PARTNER_RESCUED,1,2,0
0.0,48,1,TIMEOUT,0,3,1
0.0,48,2,TIMEOUT,0,4,0
0.0,48,3,TIMEOUT,0,5,2
0.0,48,4,TIMEOUT,0,6,0
0.0,48,5,TIMEOUT,0,7,0
0.0,48,6,TIMEOUT,0,8,1
0.0,48,7,TIMEOUT,0,9,0
0.0,48,8,TIMEOUT,0,10,0
0.0,48,9,RESOURCE_TAKEN,0,11,0
0.0,49,0,PARTNER_RESCUED,1,2,0
0.0,49,1,TIMEOUT,0,3,0
0.0,49,2,TIMEOUT,0,4,3
0.0,49,3,TIMEOUT,0,5,1
0.0,49,4,TIMEOUT,0,6,0
0.0,49,5,TIMEOUT,0,7,2
0.0,49,6,TIMEOUT,0,8,0
0.0,49,7,TIMEOUT,0,9,2
0.0,49,8,TIMEOUT,0,10,0
0.0,49,9,TIMEOUT,0,11,0
0.0,50,0,PARTNER_RESCUED,1,2,0
0.0,50,1,TIMEOUT,0,3,1
0.0,50,2,TIMEOUT,0,4,1
0.0,50,3,PARTNER_DEAD,0,5,0
0.0,50,4,TIMEOUT,0,6,1
0.0,50,5,PARTNER_DEAD,0,7,1
0.0,50,6,TIMEOUT,0,8,1
0.0,50,7,PARTNER_RESCUED,1,9,0
0.0,50,8,TIMEOUT,0,10,0
0.0,50,9,TIMEOUT,0,11,0
0.0,51,0,PARTNER_RESCUED,1,2,0
0.0,51,1,TIMEOUT,0,3,1
0.0,51,2,TIMEOUT,0,4,1
0.0,51,3,TIMEOUT,0,5,1
0.0,51,4,TIMEOUT,0,6,1
0.0,51,5,TIMEOUT,0,7,0
0.0,51,6,RESOURCE_TAKEN,0,8,0
0.0,51,7,PARTNER_RESCUED,1,9,0
0.0,51,8,TIMEOUT,0,10,1
0.0,51,9,TIMEOUT,0,11,0
0.0,52,0,PARTNER_RESCUED,1,2,0
0.0,52,1,PARTNER_DEAD,0,3,1
0.0,52,2,PARTNER_RESCUED,1,4,0
0.0,52,3,PARTNER_RESCUED,1,5,0
0.0,52,4,TIMEOUT,0,6,0
0.0,52,5,TIMEOUT,0,7,2
0.0,52,6,TIMEOUT,0,8,2
0.0,52,7,TIMEOUT,0,9,2
0.0,52,8,TIMEOUT,0,10,1
0.0,52,9,TIMEOUT,0,11,2
0.0,53,0,PARTNER_RESCUED,1,2,0
0.0,53,1,TIMEOUT,0,3,1
0.0,53,2,TIMEOUT,0,4,2
0.0,53,3,TIMEOUT,0,5,0
0.0,53,4,TIMEOUT,0,6,0
0.0,53,5,TIMEOUT,0,7,1
0.0,53,6,TIMEOUT,0,8,2
0.0,53,7,RESOURCE_TAKEN,0,9,0
0.0,53,8,PARTNER_RESCUED,1,10,0
0.0,53,9,PARTNER_RESCUED,1,11,0
0.0,54,0,PARTNER_RESCUED,1,2,0
0.0,54,1,TIMEOUT,0,3,0
0.0,54,2,TIMEOUT,0,4,2
0.0,54,3,TIMEOUT,0,5,1
0.0,54,4,PARTNER_DEAD,0,6,0
0.0,54,5,PARTNER_RESCUED,1,7,0
0.0,54,6,PARTNER_RESCUED,1,8,0
0.0,54,7,TIMEOUT,0,9,1
0.0,54,8,TIMEOUT,0,10,0
0.0,54,9,TIMEOUT,0,11,0
