rescue_importance,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.0,55,0,PARTNER_RESCUED,1,2,0
0.0,55,1,TIMEOUT,0,3,0
0.0,55,2,PARTNER_RESCUED,1,4,0
0.0,55,3,TIMEOUT,0,5,1
0.0,55,4,TIMEOUT,0,6,0
0.0,55,5,TIMEOUT,0,7,0
0.0,55,6,TIMEOUT,0,8,0
0.0,55,7,TIMEOUT,0,9,2
0.0,55,8,TIMEOUT,0,10,0
0.0,55,9,TIMEOUT,0,11,1
0.0,56,0,TIMEOUT,0,2,0
0.0,56,1,TIMEOUT,0,3,1
0.0,56,2,TIMEOUT,0,4,0
0.0,56,3,TIMEOUT,0,5,2
0.0,56,4,TIMEOUT,0,6,1
0.0,56,5,TIMEOUT,0,7,1
0.0,56,6,TIMEOUT,0,8,0
0.0,56,7,RESOURCE_TAKEN,0,9,1
0.0,56,8,PARTNER_RESCUED,1,10,0
0.0,56,9,TIMEOUT,0,11,0
0.0,57,0,PARTNER_RESCUED,1,2,0
0.0,57,1,TIMEOUT,0,3,1
0.0,57,2,TIMEOUT,0,4,1
0.0,57,3,RESOURCE_TAKEN,0,5,0
0.0,57,4,PARTNER_RESCUED,1,6,0
0.0,57,5,TIMEOUT,0,7,1
0.0,57,6,PARTNER_RESCUED,1,8,0
0.0,57,7,PARTNER_RESCUED,1,9,0
0.0,57,8,PARTNER_RESCUED,1,10,0
0.0,57,9,TIMEOUT,0,11,1
0.0,58,0,PARTNER_RESCUED,1,2,0
0.0,58,1,PARTNER_RESCUED,1,3,0
0.0,58,2,TIMEOUT,0,4,0
0.0,58,3,TIMEOUT,0,5,1
0.0,58,4,TIMEOUT,0,6,0
0.0,58,5,TIMEOUT,0,7,0
0.0,58,6,TIMEOUT,0,8,2
0.0,58,7,TIMEOUT,0,9,0
0.0,58,8,RESOURCE_TAKEN,0,10,0
0.0,58,9,TIMEOUT,0,11,1
0.0,59,0,TIMEOUT,0,2,0
0.0,59,1,TIMEOUT,0,3,0
0.0,59,2,PARTNER_RESCUED,1,4,0
0.0,59,3,TIMEOUT,0,5,2
