tau,agent_id,episode_idx,outcome,steps_used,target_switches,n_memories,e_max,was_encoded
0.0,24,1,TIMEOUT,12,0,3,1.0,1
0.0,24,2,TIMEOUT,12,2,4,0.671,1
0.0,24,3,TIMEOUT,12,1,5,0.4863,1
0.0,24,4,TIMEOUT,12,2,6,0.4717,1
0.0,24,5,TIMEOUT,12,2,7,0.4717,1
0.0,24,6,RESOURCE_TAKEN,10,0,8,0.3167,1
0.0,24,7,PARTNER_RESCUED,6,0,9,1.0,1
0.0,24,8,PARTNER_RESCUED,6,0,10,0.62,1
0.0,24,9,TIMEOUT,12,0,11,1.0,1
0.0,25,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,25,1,PARTNER_RESCUED,6,0,3,0.62,1
0.0,25,2,TIMEOUT,12,2,4,1.0,1
0.0,25,3,TIMEOUT,12,0,5,0.5789,1
0.0,25,4,TIMEOUT,12,2,6,0.4717,1
0.0,25,5,TIMEOUT,12,0,7,0.4717,1
0.0,25,6,TIMEOUT,12,2,8,0.4717,1
0.0,25,7,TIMEOUT,12,2,9,0.4717,1
0.0,25,8,TIMEOUT,12,1,10,0.4717,1
0.0,25,9,TIMEOUT,12,1,11,0.4717,1
0.0,26,0,PARTNER_RESCUED,7,0,2,1.0,1
0.0,26,1,PARTNER_RESCUED,6,0,3,0.62,1
0.0,26,2,PARTNER_RESCUED,6,0,4,0.62,1
0.0,26,3,TIMEOUT,12,0,5,1.0,1
0.0,26,4,TIMEOUT,12,2,6,0.4916,1
0.0,26,5,RESOURCE_TAKEN,12,0,7,0.4717,1
0.0,26,6,PARTNER_RESCUED,6,0,8,1.0,1
0.0,26,7,TIMEOUT,12,1,9,1.0,1
0.0,26,8,PARTNER_RESCUED,6,0,10,0.5986,1
0.0,26,9,TIMEOUT,12,1,11,1.0,1
0.0,27,0,PARTNER_RESCUED,7,0,2,1.0,1
0.0,27,1,TIMEOUT,12,0,3,1.0,1
0.0,27,2,TIMEOUT,12,2,4,0.6626,1
0.0,27,3,TIMEOUT,12,2,5,0.4914,1
0.0,27,4,TIMEOUT,12,1,6,0.4717,1
0.0,27,5,TIMEOUT,12,2,7,0.4717,1
0.0,27,6,TIMEOUT,12,2,8,0.4717,1
0.0,27,7,RESOURCE_TAKEN,10,0,9,0.3167,1
0.0,27,8,TIMEOUT,12,1,10,1.0,1
0.0,27,9,TIMEOUT,12,1,11,1.0,1
0.0,28,0,TIMEOUT,12,1,2,1.0,1
0.0,28,1,TIMEOUT,12,0,3,0.8151,1
0.0,28,2,TIMEOUT,12,2,4,0.5785,1
0.0,28,3,RESOURCE_TAKEN,12,0,5,0.4717,1
0.0,28,4,PARTNER_RESCUED,6,0,6,1.0,1
0.0,28,5,PARTNER_RESCUED,6,0,7,0.62,1
0.0,28,6,TIMEOUT,12,0,8,1.0,1
0.0,28,7,TIMEOUT,12,0,9,0.8858,1
