condition,sigma,seed_group,agent_id,episode_idx,outcome,rescued
control,0.0,1,2,10,TIMEOUT,0
control,0.0,1,2,11,TIMEOUT,0
control,0.0,1,2,12,TIMEOUT,0
control,0.0,1,2,13,TIMEOUT,0
control,0.0,1,2,14,TIMEOUT,0
control,0.0,1,2,15,TIMEOUT,0
control,0.0,1,2,16,TIMEOUT,0
control,0.0,1,2,17,TIMEOUT,0
control,0.0,1,2,18,TIMEOUT,0
control,0.0,1,2,19,TIMEOUT,0
control,0.0,1,3,0,PARTNER_RESCUED,1
control,0.0,1,3,1,PARTNER_RESCUED,1
control,0.0,1,3,2,PARTNER_RESCUED,1
control,0.0,1,3,3,TIMEOUT,0
control,0.0,1,3,4,TIMEOUT,0
control,0.0,1,3,5,TIMEOUT,0
control,0.0,1,3,6,TIMEOUT,0
control,0.0,1,3,7,TIMEOUT,0
control,0.0,1,3,8,TIMEOUT,0
control,0.0,1,3,9,TIMEOUT,0
control,0.0,1,3,10,TIMEOUT,0
control,0.0,1,3,11,TIMEOUT,0
control,0.0,1,3,12,TIMEOUT,0
control,0.0,1,3,13,TIMEOUT,0
control,0.0,1,3,14,TIMEOUT,0
control,0.0,1,3,15,TIMEOUT,0
control,0.0,1,3,16,PARTNER_RESCUED,1
control,0.0,1,3,17,PARTNER_RESCUED,1
control,0.0,1,3,18,TIMEOUT,0
control,0.0,1,3,19,TIMEOUT,0
control,0.0,1,4,0,PARTNER_RESCUED,1
control,0.0,1,4,1,PARTNER_RESCUED,1
control,0.0,1,4,2,TIMEOUT,0
control,0.0,1,4,3,TIMEOUT,0
control,0.0,1,4,4,PARTNER_RESCUED,1
control,0.0,1,4,5,PARTNER_RESCUED,1
control,0.0,1,4,6,PARTNER_RESCUED,1
control,0.0,1,4,7,PARTNER_RESCUED,1
control,0.0,1,4,8,PARTNER_RESCUED,1
