inject_mode,beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off,0.05,0.05,1.0,65,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,65,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,65,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,65,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,66,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,66,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,66,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,66,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,67,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,67,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,67,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,67,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,68,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,68,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,68,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,68,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,69,0,TIMEOUT,0,2,1
off,0.05,0.05,1.0,69,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,69,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,69,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,70,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,70,1,TIMEOUT,0,3,2
off,0.05,0.05,1.0,70,2,TIMEOUT,0,4,2
off,0.05,0.05,1.0,70,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,71,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,71,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,71,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,71,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,72,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,72,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,72,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,72,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,73,0,TIMEOUT,0,2,0
off,0.05,0.05,1.0,73,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,73,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,73,3,PARTNER_RESCUED,1,5,0
