inject_mode,beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off,0.05,0.05,1.0,16,5,TIMEOUT,0,7,0
off,0.05,0.05,1.0,16,6,PARTNER_RESCUED,1,8,0
off,0.05,0.05,1.0,16,7,TIMEOUT,0,9,0
off,0.05,0.05,1.0,16,8,PARTNER_RESCUED,1,10,0
off,0.05,0.05,1.0,16,9,PARTNER_DEAD,0,11,0
off,0.05,0.05,1.0,17,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,17,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,17,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,17,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,17,4,TIMEOUT,0,6,1
off,0.05,0.05,1.0,17,5,PARTNER_DEAD,0,7,1
off,0.05,0.05,1.0,17,6,PARTNER_RESCUED,1,8,0
off,0.05,0.05,1.0,17,7,TIMEOUT,0,9,1
off,0.05,0.05,1.0,17,8,TIMEOUT,0,10,0
off,0.05,0.05,1.0,17,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,18,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,18,1,TIMEOUT,0,3,2
off,0.05,0.05,1.0,18,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,18,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,18,4,TIMEOUT,0,6,2
off,0.05,0.05,1.0,18,5,TIMEOUT,0,7,1
off,0.05,0.05,1.0,18,6,TIMEOUT,0,8,0
off,0.05,0.05,1.0,18,7,PARTNER_RESCUED,1,9,0
off,0.05,0.05,1.0,18,8,TIMEOUT,0,10,1
off,0.05,0.05,1.0,18,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,19,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,19,1,TIMEOUT,0,3,2
off,0.05,0.05,1.0,19,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,19,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,19,4,PARTNER_RESCUED,1,6,0
off,0.05,0.05,1.0,19,5,TIMEOUT,0,7,1
off,0.05,0.05,1.0,19,6,PARTNER_RESCUED,1,8,0
off,0.05,0.05,1.0,19,7,PARTNER_DEAD,0,9,0
off,0.05,0.05,1.0,19,8,PARTNER_RESCUED,1,10,0
off,0.05,0.05,1.0,19,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,20,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,20,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,20,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,20,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,20,4,TIMEOUT,0,6,2
off,0.05,0.05,1.0,20,5,PARTNER_RESCUED,1,7,0
off,0.05,0.05,1.0,20,6,TIMEOUT,0,8,1
off,0.05,0.05,1.0,20,7,TIMEOUT,0,9,0
off,0.05,0.05,1.0,20,8,TIMEOUT,0,10,1
off,0.05,0.05,1.0,20,9,TIMEOUT,0,11,1
off,0.05,0.05,1.0,21,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,21,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,21,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,21,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,21,4,PARTNER_RESCUED,1,6,0
off,0.05,0.05,1.0,21,5,TIMEOUT,0,7,1
off,0.05,0.05,1.0,21,6,TIMEOUT,0,8,1
off,0.05,0.05,1.0,21,7,PARTNER_RESCUED,1,9,0
off,0.05,0.05,1.0,21,8,PARTNER_RESCUED,1,10,0
off,0.05,0.05,1.0,21,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,22,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,22,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,22,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,22,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,22,4,TIMEOUT,0,6,0
off,0.05,0.05,1.0,22,5,PARTNER_RESCUED,1,7,0
off,0.05,0.05,1.0,22,6,TIMEOUT,0,8,0
off,0.05,0.05,1.0,22,7,PARTNER_RESCUED,1,9,0
off,0.05,0.05,1.0,22,8,PARTNER_RESCUED,1,10,0
off,0.05,0.05,1.0,22,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,23,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,23,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,23,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,23,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,23,4,PARTNER_RESCUED,1,6,0
off,0.05,0.05,1.0,23,5,PARTNER_RESCUED,1,7,0
off,0.05,0.05,1.0,23,6,PARTNER_RESCUED,1,8,0
off,0.05,0.05,1.0,23,7,TIMEOUT,0,9,0
off,0.05,0.05,1.0,23,8,PARTNER_RESCUED,1,10,0
off,0.05,0.05,1.0,23,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,24,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,24,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,24,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,24,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,24,4,TIMEOUT,0,6,2
off,0.05,0.05,1.0,24,5,TIMEOUT,0,7,1
off,0.05,0.05,1.0,24,6,TIMEOUT,0,8,2
off,0.05,0.05,1.0,24,7,TIMEOUT,0,9,0
off,0.05,0.05,1.0,24,8,TIMEOUT,0,10,0
off,0.05,0.05,1.0,24,9,TIMEOUT,0,11,0
off,0.05,0.05,1.0,25,0,TIMEOUT,0,2,0
off,0.05,0.05,1.0,25,1,PARTNER_DEAD,0,3,1
off,0.05,0.05,1.0,25,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,25,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,25,4,PARTNER_RESCUED,1,6,0
