sigma,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.0,22,12,TIMEOUT,0,14,1
0.0,22,13,TIMEOUT,0,15,0
0.0,22,14,TIMEOUT,0,16,2
0.0,22,15,TIMEOUT,0,17,0
0.0,22,16,TIMEOUT,0,18,0
0.0,22,17,TIMEOUT,0,19,1
0.0,22,18,PARTNER_RESCUED,1,20,0
0.0,22,19,TIMEOUT,0,21,0
0.0,23,0,PARTNER_RESCUED,1,2,0
0.0,23,1,TIMEOUT,0,3,1
0.0,23,2,PARTNER_RESCUED,1,4,0
0.0,23,3,TIMEOUT,0,5,1
0.0,23,4,TIMEOUT,0,6,1
0.0,23,5,TIMEOUT,0,7,3
0.0,23,6,TIMEOUT,0,8,1
0.0,23,7,TIMEOUT,0,9,0
0.0,23,8,TIMEOUT,0,10,0
0.0,23,9,TIMEOUT,0,11,2
0.0,23,10,TIMEOUT,0,12,1
0.0,23,11,PARTNER_RESCUED,1,13,0
0.0,23,12,PARTNER_RESCUED,1,14,0
0.0,23,13,PARTNER_RESCUED,1,15,0
0.0,23,14,TIMEOUT,0,16,1
0.0,23,15,TIMEOUT,0,17,1
0.0,23,16,TIMEOUT,0,18,0
0.0,23,17,TIMEOUT,0,19,2
0.0,23,18,TIMEOUT,0,20,2
0.0,23,19,TIMEOUT,0,21,0
0.0,24,0,PARTNER_RESCUED,1,2,0
0.0,24,1,PARTNER_RESCUED,1,3,0
0.0,24,2,PARTNER_RESCUED,1,4,0
0.0,24,3,PARTNER_RESCUED,1,5,0
0.0,24,4,TIMEOUT,0,6,1
0.0,24,5,TIMEOUT,0,7,2
0.0,24,6,TIMEOUT,0,8,2
0.0,24,7,PARTNER_RESCUED,1,9,0
0.0,24,8,PARTNER_RESCUED,1,10,0
0.0,24,9,TIMEOUT,0,11,1
0.0,24,10,PARTNER_RESCUED,1,12,0
0.0,24,11,TIMEOUT,0,13,1
0.0,24,12,TIMEOUT,0,14,0
0.0,24,13,TIMEOUT,0,15,0
0.0,24,14,TIMEOUT,0,16,0
0.0,24,15,TIMEOUT,0,17,1
0.0,24,16,TIMEOUT,0,18,1
0.0,24,17,PARTNER_RESCUED,1,19,0
0.0,24,18,PARTNER_RESCUED,1,20,0
0.0,24,19,PARTNER_RESCUED,1,21,0
0.0,25,0,PARTNER_RESCUED,1,2,0
0.0,25,1,PARTNER_RESCUED,1,3,0
0.0,25,2,PARTNER_RESCUED,1,4,0
0.0,25,3,PARTNER_RESCUED,1,5,0
0.0,25,4,PARTNER_RESCUED,1,6,0
0.0,25,5,PARTNER_RESCUED,1,7,0
0.0,25,6,TIMEOUT,0,8,1
0.0,25,7,PARTNER_RESCUED,1,9,0
0.0,25,8,TIMEOUT,0,10,1
0.0,25,9,TIMEOUT,0,11,0
0.0,25,10,TIMEOUT,0,12,0
0.0,25,11,PARTNER_RESCUED,1,13,0
0.0,25,12,TIMEOUT,0,14,0
0.0,25,13,TIMEOUT,0,15,0
0.0,25,14,TIMEOUT,0,16,0
0.0,25,15,TIMEOUT,0,17,0
0.0,25,16,TIMEOUT,0,18,1
0.0,25,17,TIMEOUT,0,19,2
0.0,25,18,TIMEOUT,0,20,1
0.0,25,19,TIMEOUT,0,21,1
0.0,26,0,PARTNER_RESCUED,1,2,0
0.0,26,1,PARTNER_RESCUED,1,3,0
0.0,26,2,PARTNER_DEAD,0,4,1
0.0,26,3,PARTNER_RESCUED,1,5,0
0.0,26,4,TIMEOUT,0,6,1
0.0,26,5,PARTNER_RESCUED,1,7,0
0.0,26,6,PARTNER_RESCUED,1,8,0
0.0,26,7,TIMEOUT,0,9,1
0.0,26,8,TIMEOUT,0,10,1
0.0,26,9,PARTNER_RESCUED,1,11,0
0.0,26,10,PARTNER_RESCUED,1,12,0
0.0,26,11,TIMEOUT,0,13,1
0.0,26,12,TIMEOUT,0,14,0
0.0,26,13,TIMEOUT,0,15,0
0.0,26,14,TIMEOUT,0,16,0
0.0,26,15,TIMEOUT,0,17,0
0.0,26,16,TIMEOUT,0,18,2
0.0,26,17,TIMEOUT,0,19,0
0.0,26,18,TIMEOUT,0,20,1
0.0,26,19,TIMEOUT,0,21,1
