sigma,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.0,27,0,PARTNER_RESCUED,1,2,0
0.0,27,1,PARTNER_RESCUED,1,3,0
0.0,27,2,PARTNER_RESCUED,1,4,0
0.0,27,3,PARTNER_RESCUED,1,5,0
0.0,27,4,TIMEOUT,0,6,1
0.0,27,5,TIMEOUT,0,7,0
0.0,27,6,PARTNER_RESCUED,1,8,0
0.0,27,7,PARTNER_RESCUED,1,9,0
0.0,27,8,PARTNER_RESCUED,1,10,0
0.0,27,9,TIMEOUT,0,11,1
0.0,27,10,TIMEOUT,0,12,0
0.0,27,11,TIMEOUT,0,13,2
0.0,27,12,PARTNER_RESCUED,1,14,0
0.0,27,13,PARTNER_RESCUED,1,15,0
0.0,27,14,PARTNER_RESCUED,1,16,0
0.0,27,15,PARTNER_RESCUED,1,17,0
0.0,27,16,PARTNER_RESCUED,1,18,0
0.0,27,17,PARTNER_RESCUED,1,19,0
0.0,27,18,TIMEOUT,0,20,0
0.0,27,19,TIMEOUT,0,21,1
0.0,28,0,PARTNER_RESCUED,1,2,0
0.0,28,1,PARTNER_RESCUED,1,3,0
0.0,28,2,TIMEOUT,0,4,1
0.0,28,3,TIMEOUT,0,5,0
0.0,28,4,TIMEOUT,0,6,0
0.0,28,5,TIMEOUT,0,7,2
0.0,28,6,TIMEOUT,0,8,1
0.0,28,7,TIMEOUT,0,9,0
0.0,28,8,TIMEOUT,0,10,1
0.0,28,9,TIMEOUT,0,11,0
0.0,28,10,TIMEOUT,0,12,1
0.0,28,11,TIMEOUT,0,13,0
0.0,28,12,TIMEOUT,0,14,1
0.0,28,13,PARTNER_RESCUED,1,15,0
0.0,28,14,PARTNER_RESCUED,1,16,0
0.0,28,15,PARTNER_RESCUED,1,17,0
0.0,28,16,TIMEOUT,0,18,1
0.0,28,17,PARTNER_RESCUED,1,19,0
0.0,28,18,TIMEOUT,0,20,0
0.0,28,19,PARTNER_RESCUED,1,21,0
0.0,29,0,PARTNER_RESCUED,1,2,0
0.0,29,1,PARTNER_RESCUED,1,3,0
