beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.05,0.05,21,8,TIMEOUT,0,10,1
0.05,0.05,21,9,TIMEOUT,0,11,0
0.05,0.05,22,0,PARTNER_RESCUED,1,2,0
0.05,0.05,22,1,TIMEOUT,0,3,0
0.05,0.05,22,2,TIMEOUT,0,4,0
0.05,0.05,22,3,TIMEOUT,0,5,1
0.05,0.05,22,4,TIMEOUT,0,6,1
0.05,0.05,22,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,22,6,TIMEOUT,0,8,1
0.05,0.05,22,7,TIMEOUT,0,9,1
0.05,0.05,22,8,TIMEOUT,0,10,0
0.05,0.05,22,9,TIMEOUT,0,11,0
0.05,0.05,23,0,PARTNER_RESCUED,1,2,0
0.05,0.05,23,1,PARTNER_DEAD,0,3,0
0.05,0.05,23,2,TIMEOUT,0,4,1
0.05,0.05,23,3,PARTNER_RESCUED,1,5,0
0.05,0.05,23,4,PARTNER_RESCUED,1,6,0
0.05,0.05,23,5,TIMEOUT,0,7,2
0.05,0.05,23,6,TIMEOUT,0,8,0
0.05,0.05,23,7,TIMEOUT,0,9,0
0.05,0.05,23,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,23,9,PARTNER_RESCUED,1,11,0
0.05,0.05,24,0,PARTNER_RESCUED,1,2,0
0.05,0.05,24,1,TIMEOUT,0,3,2
0.05,0.05,24,2,TIMEOUT,0,4,2
0.05,0.05,24,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,24,4,TIMEOUT,0,6,0
0.05,0.05,24,5,TIMEOUT,0,7,0
0.05,0.05,24,6,TIMEOUT,0,8,0
0.05,0.05,24,7,RESOURCE_TAKEN,0,9,0
0.05,0.05,24,8,PARTNER_RESCUED,1,10,0
0.05,0.05,24,9,PARTNER_RESCUED,1,11,0
0.05,0.05,25,0,PARTNER_RESCUED,1,2,0
0.05,0.05,25,1,TIMEOUT,0,3,2
0.05,0.05,25,2,TIMEOUT,0,4,3
0.05,0.05,25,3,TIMEOUT,0,5,1
0.05,0.05,25,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,25,5,PARTNER_RESCUED,1,7,0
0.05,0.05,25,6,TIMEOUT,0,8,0
0.05,0.05,25,7,RESOURCE_TAKEN,0,9,0
0.05,0.05,25,8,PARTNER_RESCUED,1,10,0
0.05,0.05,25,9,PARTNER_RESCUED,1,11,0
0.05,0.05,26,0,PARTNER_RESCUED,1,2,0
0.05,0.05,26,1,TIMEOUT,0,3,2
0.05,0.05,26,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,26,3,PARTNER_RESCUED,1,5,0
0.05,0.05,26,4,PARTNER_RESCUED,1,6,0
0.05,0.05,26,5,TIMEOUT,0,7,1
0.05,0.05,26,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,26,7,TIMEOUT,0,9,0
0.05,0.05,26,8,TIMEOUT,0,10,1
0.05,0.05,26,9,RESOURCE_TAKEN,0,11,0
0.05,0.05,27,0,PARTNER_RESCUED,1,2,0
0.05,0.05,27,1,TIMEOUT,0,3,0
0.05,0.05,27,2,TIMEOUT,0,4,2
0.05,0.05,27,3,TIMEOUT,0,5,1
0.05,0.05,27,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,27,5,TIMEOUT,0,7,1
0.05,0.05,27,6,TIMEOUT,0,8,0
0.05,0.05,27,7,TIMEOUT,0,9,1
0.05,0.05,27,8,TIMEOUT,0,10,1
0.05,0.05,27,9,TIMEOUT,0,11,0
0.05,0.05,28,0,TIMEOUT,0,2,0
0.05,0.05,28,1,TIMEOUT,0,3,2
0.05,0.05,28,2,TIMEOUT,0,4,0
0.05,0.05,28,3,TIMEOUT,0,5,1
0.05,0.05,28,4,TIMEOUT,0,6,1
0.05,0.05,28,5,TIMEOUT,0,7,1
0.05,0.05,28,6,TIMEOUT,0,8,1
0.05,0.05,28,7,TIMEOUT,0,9,2
0.05,0.05,28,8,TIMEOUT,0,10,3
0.05,0.05,28,9,RESOURCE_TAKEN,0,11,0
0.05,0.05,29,0,PARTNER_RESCUED,1,2,0
0.05,0.05,29,1,TIMEOUT,0,3,1
0.05,0.05,29,2,TIMEOUT,0,4,2
0.05,0.05,29,3,TIMEOUT,0,5,0
0.05,0.05,29,4,TIMEOUT,0,6,0
