mode,beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories
off,0.05,0.3,24,6,TIMEOUT,0,8
off,0.05,0.3,24,7,PARTNER_RESCUED,1,9
off,0.05,0.3,24,8,TIMEOUT,0,10
off,0.05,0.3,24,9,TIMEOUT,0,11
off,0.05,0.3,25,0,PARTNER_RESCUED,1,2
off,0.05,0.3,25,1,TIMEOUT,0,3
off,0.05,0.3,25,2,PARTNER_RESCUED,1,4
off,0.05,0.3,25,3,TIMEOUT,0,5
off,0.05,0.3,25,4,PARTNER_RESCUED,1,6
off,0.05,0.3,25,5,PARTNER_RESCUED,1,7
off,0.05,0.3,25,6,TIMEOUT,0,8
off,0.05,0.3,25,7,TIMEOUT,0,9
off,0.05,0.3,25,8,PARTNER_RESCUED,1,10
off,0.05,0.3,25,9,PARTNER_RESCUED,1,11
off,0.05,0.3,26,0,TIMEOUT,0,2
off,0.05,0.3,26,1,TIMEOUT,0,3
off,0.05,0.3,26,2,PARTNER_RESCUED,1,4
off,0.05,0.3,26,3,TIMEOUT,0,5
off,0.05,0.3,26,4,PARTNER_RESCUED,1,6
off,0.05,0.3,26,5,PARTNER_RESCUED,1,7
off,0.05,0.3,26,6,TIMEOUT,0,8
off,0.05,0.3,26,7,PARTNER_RESCUED,1,9
off,0.05,0.3,26,8,TIMEOUT,0,10
off,0.05,0.3,26,9,TIMEOUT,0,11
off,0.05,0.3,27,0,PARTNER_RESCUED,1,2
off,0.05,0.3,27,1,RESOURCE_TAKEN,0,3
off,0.05,0.3,27,2,PARTNER_RESCUED,1,4
off,0.05,0.3,27,3,TIMEOUT,0,5
off,0.05,0.3,27,4,TIMEOUT,0,6
off,0.05,0.3,27,5,PARTNER_RESCUED,1,7
off,0.05,0.3,27,6,TIMEOUT,0,8
off,0.05,0.3,27,7,TIMEOUT,0,9
off,0.05,0.3,27,8,TIMEOUT,0,10
off,0.05,0.3,27,9,PARTNER_RESCUED,1,11
off,0.05,0.3,28,0,PARTNER_RESCUED,1,2
off,0.05,0.3,28,1,RESOURCE_TAKEN,0,3
off,0.05,0.3,28,2,PARTNER_RESCUED,1,4
off,0.05,0.3,28,3,TIMEOUT,0,5
off,0.05,0.3,28,4,PARTNER_RESCUED,1,6
off,0.05,0.3,28,5,TIMEOUT,0,7
off,0.05,0.3,28,6,TIMEOUT,0,8
off,0.05,0.3,28,7,PARTNER_RESCUED,1,9
off,0.05,0.3,28,8,PARTNER_RESCUED,1,10
off,0.05,0.3,28,9,TIMEOUT,0,11
off,0.05,0.3,29,0,PARTNER_RESCUED,1,2
off,0.05,0.3,29,1,TIMEOUT,0,3
off,0.05,0.3,29,2,TIMEOUT,0,4
off,0.05,0.3,29,3,TIMEOUT,0,5
off,0.05,0.3,29,4,TIMEOUT,0,6
off,0.05,0.3,29,5,PARTNER_RESCUED,1,7
off,0.05,0.3,29,6,TIMEOUT,0,8
off,0.05,0.3,29,7,TIMEOUT,0,9
off,0.05,0.3,29,8,PARTNER_RESCUED,1,10
off,0.05,0.3,29,9,TIMEOUT,0,11
off,0.05,0.3,30,0,PARTNER_RESCUED,1,2
off,0.05,0.3,30,1,TIMEOUT,0,3
off,0.05,0.3,30,2,PARTNER_RESCUED,1,4
off,0.05,0.3,30,3,TIMEOUT,0,5
off,0.05,0.3,30,4,TIMEOUT,0,6
off,0.05,0.3,30,5,PARTNER_RESCUED,1,7
off,0.05,0.3,30,6,TIMEOUT,0,8
off,0.05,0.3,30,7,TIMEOUT,0,9
