mode,beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories
off,0.05,0.1,29,4,PARTNER_RESCUED,1,6
off,0.05,0.1,29,5,PARTNER_RESCUED,1,7
off,0.05,0.1,29,6,TIMEOUT,0,8
off,0.05,0.1,29,7,TIMEOUT,0,9
off,0.05,0.1,29,8,PARTNER_RESCUED,1,10
off,0.05,0.1,29,9,TIMEOUT,0,11
off,0.05,0.1,30,0,PARTNER_RESCUED,1,2
off,0.05,0.1,30,1,TIMEOUT,0,3
off,0.05,0.1,30,2,TIMEOUT,0,4
off,0.05,0.1,30,3,TIMEOUT,0,5
off,0.05,0.1,30,4,PARTNER_RESCUED,1,6
off,0.05,0.1,30,5,TIMEOUT,0,7
off,0.05,0.1,30,6,TIMEOUT,0,8
off,0.05,0.1,30,7,TIMEOUT,0,9
off,0.05,0.1,30,8,PARTNER_RESCUED,1,10
off,0.05,0.1,30,9,PARTNER_RESCUED,1,11
off,0.05,0.1,31,0,TIMEOUT,0,2
off,0.05,0.1,31,1,TIMEOUT,0,3
off,0.05,0.1,31,2,PARTNER_RESCUED,1,4
off,0.05,0.1,31,3,TIMEOUT,0,5
off,0.05,0.1,31,4,TIMEOUT,0,6
off,0.05,0.1,31,5,PARTNER_RESCUED,1,7
off,0.05,0.1,31,6,PARTNER_RESCUED,1,8
off,0.05,0.1,31,7,TIMEOUT,0,9
off,0.05,0.1,31,8,PARTNER_RESCUED,1,10
off,0.05,0.1,31,9,TIMEOUT,0,11
off,0.05,0.1,32,0,PARTNER_RESCUED,1,2
off,0.05,0.1,32,1,TIMEOUT,0,3
off,0.05,0.1,32,2,TIMEOUT,0,4
off,0.05,0.1,32,3,PARTNER_RESCUED,1,5
off,0.05,0.1,32,4,PARTNER_RESCUED,1,6
off,0.05,0.1,32,5,PARTNER_RESCUED,1,7
off,0.05,0.1,32,6,TIMEOUT,0,8
off,0.05,0.1,32,7,TIMEOUT,0,9
off,0.05,0.1,32,8,TIMEOUT,0,10
off,0.05,0.1,32,9,TIMEOUT,0,11
off,0.05,0.1,33,0,PARTNER_RESCUED,1,2
off,0.05,0.1,33,1,TIMEOUT,0,3
off,0.05,0.1,33,2,PARTNER_RESCUED,1,4
off,0.05,0.1,33,3,TIMEOUT,0,5
off,0.05,0.1,33,4,TIMEOUT,0,6
off,0.05,0.1,33,5,TIMEOUT,0,7
off,0.05,0.1,33,6,PARTNER_RESCUED,1,8
off,0.05,0.1,33,7,TIMEOUT,0,9
off,0.05,0.1,33,8,PARTNER_RESCUED,1,10
off,0.05,0.1,33,9,TIMEOUT,0,11
off,0.05,0.1,34,0,PARTNER_RESCUED,1,2
off,0.05,0.1,34,1,PARTNER_RESCUED,1,3
off,0.05,0.1,34,2,TIMEOUT,0,4
off,0.05,0.1,34,3,TIMEOUT,0,5
off,0.05,0.1,34,4,TIMEOUT,0,6
off,0.05,0.1,34,5,PARTNER_DEAD,0,7
off,0.05,0.1,34,6,PARTNER_RESCUED,1,8
off,0.05,0.1,34,7,TIMEOUT,0,9
off,0.05,0.1,34,8,PARTNER_RESCUED,1,10
off,0.05,0.1,34,9,TIMEOUT,0,11
off,0.05,0.1,35,0,PARTNER_RESCUED,1,2
off,0.05,0.1,35,1,TIMEOUT,0,3
off,0.05,0.1,35,2,TIMEOUT,0,4
off,0.05,0.1,35,3,PARTNER_RESCUED,1,5
off,0.05,0.1,35,4,TIMEOUT,0,6
