mode,beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories
off,0.05,0.05,28,4,TIMEOUT,0,6
off,0.05,0.05,28,5,PARTNER_RESCUED,1,7
off,0.05,0.05,28,6,PARTNER_RESCUED,1,8
off,0.05,0.05,28,7,PARTNER_RESCUED,1,9
off,0.05,0.05,28,8,TIMEOUT,0,10
off,0.05,0.05,28,9,PARTNER_RESCUED,1,11
off,0.05,0.05,29,0,PARTNER_RESCUED,1,2
off,0.05,0.05,29,1,TIMEOUT,0,3
off,0.05,0.05,29,2,PARTNER_RESCUED,1,4
off,0.05,0.05,29,3,TIMEOUT,0,5
off,0.05,0.05,29,4,TIMEOUT,0,6
off,0.05,0.05,29,5,TIMEOUT,0,7
off,0.05,0.05,29,6,TIMEOUT,0,8
off,0.05,0.05,29,7,PARTNER_DEAD,0,9
off,0.05,0.05,29,8,PARTNER_RESCUED,1,10
off,0.05,0.05,29,9,PARTNER_RESCUED,1,11
off,0.05,0.05,30,0,TIMEOUT,0,2
off,0.05,0.05,30,1,TIMEOUT,0,3
off,0.05,0.05,30,2,PARTNER_RESCUED,1,4
off,0.05,0.05,30,3,PARTNER_RESCUED,1,5
off,0.05,0.05,30,4,TIMEOUT,0,6
off,0.05,0.05,30,5,TIMEOUT,0,7
off,0.05,0.05,30,6,PARTNER_RESCUED,1,8
off,0.05,0.05,30,7,TIMEOUT,0,9
off,0.05,0.05,30,8,PARTNER_RESCUED,1,10
off,0.05,0.05,30,9,PARTNER_RESCUED,1,11
off,0.05,0.05,31,0,PARTNER_RESCUED,1,2
off,0.05,0.05,31,1,TIMEOUT,0,3
off,0.05,0.05,31,2,TIMEOUT,0,4
off,0.05,0.05,31,3,PARTNER_RESCUED,1,5
off,0.05,0.05,31,4,TIMEOUT,0,6
off,0.05,0.05,31,5,TIMEOUT,0,7
off,0.05,0.05,31,6,TIMEOUT,0,8
off,0.05,0.05,31,7,TIMEOUT,0,9
off,0.05,0.05,31,8,PARTNER_RESCUED,1,10
off,0.05,0.05,31,9,PARTNER_RESCUED,1,11
off,0.05,0.05,32,0,PARTNER_RESCUED,1,2
off,0.05,0.05,32,1,TIMEOUT,0,3
off,0.05,0.05,32,2,PARTNER_RESCUED,1,4
off,0.05,0.05,32,3,PARTNER_RESCUED,1,5
off,0.05,0.05,32,4,PARTNER_RESCUED,1,6
off,0.05,0.05,32,5,TIMEOUT,0,7
off,0.05,0.05,32,6,PARTNER_RESCUED,1,8
off,0.05,0.05,32,7,TIMEOUT,0,9
off,0.05,0.05,32,8,TIMEOUT,0,10
off,0.05,0.05,32,9,PARTNER_RESCUED,1,11
off,0.05,0.05,33,0,PARTNER_RESCUED,1,2
off,0.05,0.05,33,1,TIMEOUT,0,3
off,0.05,0.05,33,2,PARTNER_RESCUED,1,4
off,0.05,0.05,33,3,PARTNER_RESCUED,1,5
off,0.05,0.05,33,4,TIMEOUT,0,6
off,0.05,0.05,33,5,TIMEOUT,0,7
off,0.05,0.05,33,6,TIMEOUT,0,8
off,0.05,0.05,33,7,TIMEOUT,0,9
off,0.05,0.05,33,8,TIMEOUT,0,10
off,0.05,0.05,33,9,TIMEOUT,0,11
off,0.05,0.05,34,0,PARTNER_RESCUED,1,2
off,0.05,0.05,34,1,TIMEOUT,0,3
off,0.05,0.05,34,2,TIMEOUT,0,4
off,0.05,0.05,34,3,TIMEOUT,0,5
off,0.05,0.05,34,4,PARTNER_RESCUED,1,6
off,0.05,0.05,34,5,PARTNER_RESCUED,1,7
off,0.05,0.05,34,6,TIMEOUT,0,8
off,0.05,0.05,34,7,TIMEOUT,0,9
off,0.05,0.05,34,8,TIMEOUT,0,10
off,0.05,0.05,34,9,TIMEOUT,0,11
off,0.05,0.05,35,0,PARTNER_RESCUED,1,2
off,0.05,0.05,35,1,TIMEOUT,0,3
off,0.05,0.05,35,2,TIMEOUT,0,4
off,0.05,0.05,35,3,TIMEOUT,0,5
off,0.05,0.05,35,4,TIMEOUT,0,6
off,0.05,0.05,35,5,PARTNER_RESCUED,1,7
off,0.05,0.05,35,6,TIMEOUT,0,8
off,0.05,0.05,35,7,PARTNER_RESCUED,1,9
off,0.05,0.05,35,8,PARTNER_RESCUED,1,10
off,0.05,0.05,35,9,TIMEOUT,0,11
off,0.05,0.05,36,0,TIMEOUT,0,2
off,0.05,0.05,36,1,TIMEOUT,0,3
off,0.05,0.05,36,2,PARTNER_RESCUED,1,4
off,0.05,0.05,36,3,TIMEOUT,0,5
off,0.05,0.05,36,4,TIMEOUT,0,6
off,0.05,0.05,36,5,PARTNER_RESCUED,1,7
off,0.05,0.05,36,6,TIMEOUT,0,8
off,0.05,0.05,36,7,TIMEOUT,0,9
off,0.05,0.05,36,8,PARTNER_RESCUED,1,10
off,0.05,0.05,36,9,TIMEOUT,0,11
off,0.05,0.05,37,0,TIMEOUT,0,2
off,0.05,0.05,37,1,TIMEOUT,0,3
off,0.05,0.05,37,2,TIMEOUT,0,4
off,0.05,0.05,37,3,TIMEOUT,0,5
off,0.05,0.05,37,4,TIMEOUT,0,6
off,0.05,0.05,37,5,TIMEOUT,0,7
off,0.05,0.05,37,6,PARTNER_RESCUED,1,8
off,0.05,0.05,37,7,PARTNER_RESCUED,1,9
off,0.05,0.05,37,8,TIMEOUT,0,10
off,0.05,0.05,37,9,PARTNER_RESCUED,1,11
off,0.05,0.05,38,0,PARTNER_RESCUED,1,2
off,0.05,0.05,38,1,TIMEOUT,0,3
off,0.05,0.05,38,2,TIMEOUT,0,4
off,0.05,0.05,38,3,TIMEOUT,0,5
off,0.05,0.05,38,4,TIMEOUT,0,6
off,0.05,0.05,38,5,PARTNER_RESCUED,1,7
off,0.05,0.05,38,6,PARTNER_RESCUED,1,8
off,0.05,0.05,38,7,TIMEOUT,0,9
off,0.05,0.05,38,8,TIMEOUT,0,10
off,0.05,0.05,38,9,TIMEOUT,0,11
off,0.05,0.05,39,0,PARTNER_RESCUED,1,2
off,0.05,0.05,39,1,PARTNER_RESCUED,1,3
off,0.05,0.05,39,2,TIMEOUT,0,4
off,0.05,0.05,39,3,TIMEOUT,0,5
off,0.05,0.05,39,4,PARTNER_RESCUED,1,6
off,0.05,0.05,39,5,PARTNER_RESCUED,1,7
off,0.05,0.05,39,6,TIMEOUT,0,8
off,0.05,0.05,39,7,PARTNER_RESCUED,1,9
off,0.05,0.05,39,8,TIMEOUT,0,10
off,0.05,0.05,39,9,TIMEOUT,0,11
off,0.05,0.5,0,0,PARTNER_RESCUED,1,2
off,0.05,0.5,0,1,RESOURCE_TAKEN,0,3
off,0.05,0.5,0,2,TIMEOUT,0,4
off,0.05,0.5,0,3,TIMEOUT,0,5
off,0.05,0.5,0,4,PARTNER_RESCUED,1,6
off,0.05,0.5,0,5,TIMEOUT,0,7
off,0.05,0.5,0,6,PARTNER_RESCUED,1,8
off,0.05,0.5,0,7,TIMEOUT,0,9
off,0.05,0.5,0,8,TIMEOUT,0,10
off,0.05,0.5,0,9,TIMEOUT,0,11
off,0.05,0.5,1,0,PARTNER_RESCUED,1,2
off,0.05,0.5,1,1,TIMEOUT,0,3
off,0.05,0.5,1,2,PARTNER_RESCUED,1,4
off,0.05,0.5,1,3,TIMEOUT,0,5
off,0.05,0.5,1,4,PARTNER_RESCUED,1,6
off,0.05,0.5,1,5,TIMEOUT,0,7
off,0.05,0.5,1,6,TIMEOUT,0,8
off,0.05,0.5,1,7,TIMEOUT,0,9
off,0.05,0.5,1,8,TIMEOUT,0,10
off,0.05,0.5,1,9,PARTNER_RESCUED,1,11
off,0.05,0.5,2,0,PARTNER_RESCUED,1,2
off,0.05,0.5,2,1,TIMEOUT,0,3
off,0.05,0.5,2,2,TIMEOUT,0,4
off,0.05,0.5,2,3,TIMEOUT,0,5
off,0.05,0.5,2,4,TIMEOUT,0,6
