capacity,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
2,46,3,RESOURCE_TAKEN,0,2,0
2,46,4,PARTNER_RESCUED,1,2,0
2,46,5,TIMEOUT,0,2,2
2,46,6,TIMEOUT,0,2,1
2,46,7,RESOURCE_TAKEN,0,2,0
2,46,8,PARTNER_RESCUED,1,2,0
2,46,9,PARTNER_DEAD,0,2,0
2,47,0,PARTNER_RESCUED,1,2,0
2,47,1,TIMEOUT,0,2,1
2,47,2,TIMEOUT,0,2,0
2,47,3,TIMEOUT,0,2,0
2,47,4,TIMEOUT,0,2,0
2,47,5,TIMEOUT,0,2,0
2,47,6,TIMEOUT,0,2,2
2,47,7,TIMEOUT,0,2,1
2,47,8,TIMEOUT,0,2,1
2,47,9,TIMEOUT,0,2,0
2,48,0,PARTNER_RESCUED,1,2,0
2,48,1,PARTNER_RESCUED,1,2,0
2,48,2,TIMEOUT,0,2,2
2,48,3,TIMEOUT,0,2,1
2,48,4,TIMEOUT,0,2,0
2,48,5,TIMEOUT,0,2,2
2,48,6,TIMEOUT,0,2,2
2,48,7,TIMEOUT,0,2,0
2,48,8,TIMEOUT,0,2,1
2,48,9,RESOURCE_TAKEN,0,2,0
2,49,0,PARTNER_RESCUED,1,2,0
2,49,1,TIMEOUT,0,2,1
2,49,2,TIMEOUT,0,2,0
2,49,3,RESOURCE_TAKEN,0,2,0
2,49,4,TIMEOUT,0,2,1
2,49,5,PARTNER_RESCUED,1,2,0
2,49,6,TIMEOUT,0,2,1
2,49,7,TIMEOUT,0,2,1
2,49,8,TIMEOUT,0,2,0
2,49,9,TIMEOUT,0,2,0
2,50,0,PARTNER_RESCUED,1,2,0
2,50,1,TIMEOUT,0,2,1
2,50,2,TIMEOUT,0,2,0
2,50,3,RESOURCE_TAKEN,0,2,0
2,50,4,PARTNER_RESCUED,1,2,0
2,50,5,TIMEOUT,0,2,0
2,50,6,RESOURCE_TAKEN,0,2,0
2,50,7,PARTNER_RESCUED,1,2,0
2,50,8,TIMEOUT,0,2,0
2,50,9,TIMEOUT,0,2,2
2,51,0,TIMEOUT,0,2,1
2,51,1,TIMEOUT,0,2,1
2,51,2,TIMEOUT,0,2,2
2,51,3,TIMEOUT,0,2,2
2,51,4,TIMEOUT,0,2,0
2,51,5,RESOURCE_TAKEN,0,2,0
2,51,6,PARTNER_RESCUED,1,2,0
2,51,7,TIMEOUT,0,2,1
2,51,8,TIMEOUT,0,2,0
2,51,9,RESOURCE_TAKEN,0,2,0
2,52,0,PARTNER_RESCUED,1,2,0
2,52,1,TIMEOUT,0,2,0
2,52,2,TIMEOUT,0,2,2
2,52,3,RESOURCE_TAKEN,0,2,0
2,52,4,PARTNER_RESCUED,1,2,0
2,52,5,TIMEOUT,0,2,0
2,52,6,TIMEOUT,0,2,0
2,52,7,RESOURCE_TAKEN,0,2,0
2,52,8,PARTNER_RESCUED,1,2,0
2,52,9,PARTNER_RESCUED,1,2,0
2,53,0,PARTNER_RESCUED,1,2,0
2,53,1,TIMEOUT,0,2,1
2,53,2,TIMEOUT,0,2,1
2,53,3,TIMEOUT,0,2,1
2,53,4,TIMEOUT,0,2,0
2,53,5,TIMEOUT,0,2,2
2,53,6,RESOURCE_TAKEN,0,2,0
2,53,7,PARTNER_RESCUED,1,2,0
2,53,8,PARTNER_RESCUED,1,2,0
2,53,9,TIMEOUT,0,2,1
2,54,0,PARTNER_RESCUED,1,2,0
2,54,1,TIMEOUT,0,2,1
2,54,2,TIMEOUT,0,2,2
2,54,3,TIMEOUT,0,2,1
2,54,4,TIMEOUT,0,2,2
2,54,5,TIMEOUT,0,2,0
2,54,6,TIMEOUT,0,2,2
2,54,7,TIMEOUT,0,2,1
2,54,8,TIMEOUT,0,2,2
2,54,9,TIMEOUT,0,2,0
2,55,0,TIMEOUT,0,2,1
2,55,1,TIMEOUT,0,2,1
2,55,2,TIMEOUT,0,2,0
2,55,3,RESOURCE_TAKEN,0,2,0
2,55,4,TIMEOUT,0,2,0
2,55,5,TIMEOUT,0,2,1
2,55,6,TIMEOUT,0,2,0
2,55,7,TIMEOUT,0,2,0
2,55,8,TIMEOUT,0,2,0
2,55,9,TIMEOUT,0,2,0
2,56,0,TIMEOUT,0,2,1
2,56,1,TIMEOUT,0,2,1
2,56,2,TIMEOUT,0,2,0
2,56,3,TIMEOUT,0,2,0
2,56,4,TIMEOUT,0,2,0
2,56,5,TIMEOUT,0,2,2
2,56,6,TIMEOUT,0,2,0
2,56,7,TIMEOUT,0,2,1
2,56,8,TIMEOUT,0,2,1
2,56,9,TIMEOUT,0,2,2
2,57,0,PARTNER_RESCUED,1,2,0
2,57,1,TIMEOUT,0,2,1
2,57,2,TIMEOUT,0,2,1
2,57,3,RESOURCE_TAKEN,0,2,1
2,57,4,PARTNER_RESCUED,1,2,0
2,57,5,PARTNER_RESCUED,1,2,0
2,57,6,TIMEOUT,0,2,2
2,57,7,TIMEOUT,0,2,1
