cell,jitter,tag_aware,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off_off,0.0,0,14,3,RESOURCE_TAKEN,0,5,0
off_off,0.0,0,14,4,TIMEOUT,0,6,0
off_off,0.0,0,14,5,TIMEOUT,0,7,0
off_off,0.0,0,14,6,TIMEOUT,0,8,0
off_off,0.0,0,14,7,RESOURCE_TAKEN,0,9,0
off_off,0.0,0,14,8,TIMEOUT,0,10,0
off_off,0.0,0,14,9,RESOURCE_TAKEN,0,11,0
off_off,0.0,0,14,10,TIMEOUT,0,12,1
off_off,0.0,0,14,11,RESOURCE_TAKEN,0,13,0
off_off,0.0,0,14,12,PARTNER_RESCUED,1,14,0
off_off,0.0,0,14,13,TIMEOUT,0,15,2
off_off,0.0,0,14,14,TIMEOUT,0,16,0
off_off,0.0,0,14,15,TIMEOUT,0,17,1
off_off,0.0,0,14,16,TIMEOUT,0,18,0
off_off,0.0,0,14,17,RESOURCE_TAKEN,0,19,0
off_off,0.0,0,14,18,PARTNER_RESCUED,1,20,0
off_off,0.0,0,14,19,TIMEOUT,0,21,0
off_off,0.0,0,15,0,TIMEOUT,0,2,0
off_off,0.0,0,15,1,RESOURCE_TAKEN,0,3,0
off_off,0.0,0,15,2,PARTNER_RESCUED,1,4,0
off_off,0.0,0,15,3,TIMEOUT,0,5,0
off_off,0.0,0,15,4,RESOURCE_TAKEN,0,6,0
off_off,0.0,0,15,5,PARTNER_RESCUED,1,7,0
off_off,0.0,0,15,6,TIMEOUT,0,8,1
off_off,0.0,0,15,7,TIMEOUT,0,9,0
off_off,0.0,0,15,8,TIMEOUT,0,10,1
off_off,0.0,0,15,9,RESOURCE_TAKEN,0,11,0
off_off,0.0,0,15,10,TIMEOUT,0,12,1
off_off,0.0,0,15,11,TIMEOUT,0,13,0
off_off,0.0,0,15,12,RESOURCE_TAKEN,0,14,2
off_off,0.0,0,15,13,TIMEOUT,0,15,0
off_off,0.0,0,15,14,TIMEOUT,0,16,1
off_off,0.0,0,15,15,TIMEOUT,0,17,1
off_off,0.0,0,15,16,RESOURCE_TAKEN,0,18,0
off_off,0.0,0,15,17,PARTNER_RESCUED,1,19,0
off_off,0.0,0,15,18,TIMEOUT,0,20,0
off_off,0.0,0,15,19,RESOURCE_TAKEN,0,21,0
off_off,0.0,0,16,0,PARTNER_RESCUED,1,2,0
off_off,0.0,0,16,1,PARTNER_RESCUED,1,3,0
off_off,0.0,0,16,2,TIMEOUT,0,4,1
off_off,0.0,0,16,3,RESOURCE_TAKEN,0,5,0
off_off,0.0,0,16,4,PARTNER_RESCUED,1,6,0
off_off,0.0,0,16,5,TIMEOUT,0,7,2
off_off,0.0,0,16,6,TIMEOUT,0,8,1
off_off,0.0,0,16,7,TIMEOUT,0,9,0
off_off,0.0,0,16,8,TIMEOUT,0,10,0
off_off,0.0,0,16,9,RESOURCE_TAKEN,0,11,0
off_off,0.0,0,16,10,PARTNER_RESCUED,1,12,0
off_off,0.0,0,16,11,TIMEOUT,0,13,1
off_off,0.0,0,16,12,RESOURCE_TAKEN,0,14,0
off_off,0.0,0,16,13,PARTNER_RESCUED,1,15,0
off_off,0.0,0,16,14,TIMEOUT,0,16,0
off_off,0.0,0,16,15,TIMEOUT,0,17,0
off_off,0.0,0,16,16,RESOURCE_TAKEN,0,18,0
off_off,0.0,0,16,17,PARTNER_RESCUED,1,19,0
off_off,0.0,0,16,18,TIMEOUT,0,20,2
off_off,0.0,0,16,19,TIMEOUT,0,21,1
off_off,0.0,0,17,0,TIMEOUT,0,2,0
off_off,0.0,0,17,1,TIMEOUT,0,3,1
off_off,0.0,0,17,2,RESOURCE_TAKEN,0,4,0
off_off,0.0,0,17,3,TIMEOUT,0,5,1
off_off,0.0,0,17,4,TIMEOUT,0,6,0
off_off,0.0,0,17,5,TIMEOUT,0,7,0
off_off,0.0,0,17,6,RESOURCE_TAKEN,0,8,0
off_off,0.0,0,17,7,TIMEOUT,0,9,1
off_off,0.0,0,17,8,TIMEOUT,0,10,1
off_off,0.0,0,17,9,TIMEOUT,0,11,0
off_off,0.0,0,17,10,RESOURCE_TAKEN,0,12,1
off_off,0.0,0,17,11,TIMEOUT,0,13,0
off_off,0.0,0,17,12,RESOURCE_TAKEN,0,14,1
off_off,0.0,0,17,13,PARTNER_RESCUED,1,15,0
off_off,0.0,0,17,14,TIMEOUT,0,16,1
off_off,0.0,0,17,15,RESOURCE_TAKEN,0,17,0
off_off,0.0,0,17,16,TIMEOUT,0,18,0
off_off,0.0,0,17,17,RESOURCE_TAKEN,0,19,0
off_off,0.0,0,17,18,PARTNER_RESCUED,1,20,0
off_off,0.0,0,17,19,TIMEOUT,0,21,2
off_off,0.0,0,18,0,TIMEOUT,0,2,0
off_off,0.0,0,18,1,RESOURCE_TAKEN,0,3,1
off_off,0.0,0,18,2,TIMEOUT,0,4,0
off_off,0.0,0,18,3,RESOURCE_TAKEN,0,5,0
off_off,0.0,0,18,4,PARTNER_RESCUED,1,6,0
off_off,0.0,0,18,5,TIMEOUT,0,7,0
off_off,0.0,0,18,6,TIMEOUT,0,8,2
off_off,0.0,0,18,7,TIMEOUT,0,9,0
off_off,0.0,0,18,8,RESOURCE_TAKEN,0,10,1
off_off,0.0,0,18,9,PARTNER_RESCUED,1,11,0
off_off,0.0,0,18,10,TIMEOUT,0,12,2
off_off,0.0,0,18,11,RESOURCE_TAKEN,0,13,0
off_off,0.0,0,18,12,PARTNER_RESCUED,1,14,0
off_off,0.0,0,18,13,TIMEOUT,0,15,2
off_off,0.0,0,18,14,TIMEOUT,0,16,2
off_off,0.0,0,18,15,TIMEOUT,0,17,1
off_off,0.0,0,18,16,TIMEOUT,0,18,1
off_off,0.0,0,18,17,TIMEOUT,0,19,1
off_off,0.0,0,18,18,TIMEOUT,0,20,2
off_off,0.0,0,18,19,TIMEOUT,0,21,1
off_off,0.0,0,19,0,TIMEOUT,0,2,0
off_off,0.0,0,19,1,TIMEOUT,0,3,1
off_off,0.0,0,19,2,TIMEOUT,0,4,1
off_off,0.0,0,19,3,RESOURCE_TAKEN,0,5,0
off_off,0.0,0,19,4,PARTNER_RESCUED,1,6,0
off_off,0.0,0,19,5,TIMEOUT,0,7,1
off_off,0.0,0,19,6,TIMEOUT,0,8,1
off_off,0.0,0,19,7,RESOURCE_TAKEN,0,9,1
off_off,0.0,0,19,8,PARTNER_RESCUED,1,10,0
off_off,0.0,0,19,9,TIMEOUT,0,11,2
off_off,0.0,0,19,10,RESOURCE_TAKEN,0,12,0
