beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.05,0.05,0.5,33,7,TIMEOUT,0,9,1
0.05,0.05,0.5,33,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,0.5,33,9,PARTNER_RESCUED,1,11,0
0.05,0.05,0.5,34,0,PARTNER_DEAD,0,2,0
0.05,0.05,0.5,34,1,TIMEOUT,0,3,1
0.05,0.05,0.5,34,2,TIMEOUT,0,4,3
0.05,0.05,0.5,34,3,TIMEOUT,0,5,1
0.05,0.05,0.5,34,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,0.5,34,5,TIMEOUT,0,7,2
0.05,0.05,0.5,34,6,TIMEOUT,0,8,0
0.05,0.05,0.5,34,7,TIMEOUT,0,9,1
0.05,0.05,0.5,34,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,0.5,34,9,TIMEOUT,0,11,0
0.05,0.05,0.5,35,0,TIMEOUT,0,2,0
0.05,0.05,0.5,35,1,TIMEOUT,0,3,3
0.05,0.05,0.5,35,2,TIMEOUT,0,4,0
0.05,0.05,0.5,35,3,TIMEOUT,0,5,0
0.05,0.05,0.5,35,4,TIMEOUT,0,6,0
0.05,0.05,0.5,35,5,TIMEOUT,0,7,0
0.05,0.05,0.5,35,6,TIMEOUT,0,8,1
0.05,0.05,0.5,35,7,RESOURCE_TAKEN,0,9,2
0.05,0.05,0.5,35,8,PARTNER_RESCUED,1,10,0
0.05,0.05,0.5,35,9,TIMEOUT,0,11,1
0.05,0.05,0.5,36,0,TIMEOUT,0,2,0
0.05,0.05,0.5,36,1,RESOURCE_TAKEN,0,3,1
0.05,0.05,0.5,36,2,TIMEOUT,0,4,1
0.05,0.05,0.5,36,3,TIMEOUT,0,5,0
0.05,0.05,0.5,36,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,0.5,36,5,TIMEOUT,0,7,2
0.05,0.05,0.5,36,6,TIMEOUT,0,8,1
0.05,0.05,0.5,36,7,TIMEOUT,0,9,1
0.05,0.05,0.5,36,8,TIMEOUT,0,10,2
0.05,0.05,0.5,36,9,TIMEOUT,0,11,0
0.05,0.05,0.5,37,0,TIMEOUT,0,2,0
