beta_guilt,beta_loyalty,kappa,agent_id,ep0_outcome,ep1_outcome,snapshot_after_ep,mem_idx,tag,age,importance,guilt,loyalty,survival,fear,curiosity,emo_magnitude,mem_class
0.05,0.05,0.5,4,PARTNER_RESCUED,TIMEOUT,9,0,seed,114,0.9,0.005608922419263787,0.0037392816128425247,0.2,0.1,0.0,0.30934820403210633,guilt
0.05,0.05,0.5,4,PARTNER_RESCUED,TIMEOUT,9,1,rescue,92,0.7,0.0,0.007139399320373757,0.1,0.1,0.0,0.20713939932037378,loyalty
0.05,0.05,0.5,4,PARTNER_RESCUED,TIMEOUT,9,2,timeout,80,0.5,0.006606149754005427,0.004954612315504073,0.2,0.2,0.0,0.41156076206950953,guilt
0.05,0.05,0.5,4,PARTNER_RESCUED,TIMEOUT,9,3,failure,69,0.85,0.02468014407500919,0.014517731808828926,0.3,0.2,0.0,0.539197875883838,guilt
0.05,0.05,0.5,4,PARTNER_RESCUED,TIMEOUT,9,4,rescue,63,0.7,0.0,0.031599275125150324,0.1,0.1,0.0,0.23159927512515033,loyalty
0.05,0.05,0.5,4,PARTNER_RESCUED,TIMEOUT,9,5,timeout,51,0.5,0.02923909060515098,0.021929317953863253,0.2,0.2,0.0,0.45116840855901424,guilt
0.05,0.05,0.5,4,PARTNER_RESCUED,TIMEOUT,9,6,failure,41,0.85,0.1037735664263208,0.061043274368423966,0.3,0.2,0.0,0.6648168407947448,guilt
0.05,0.05,0.5,4,PARTNER_RESCUED,TIMEOUT,9,7,timeout,29,0.5,0.09037421639702622,0.06778066229776968,0.2,0.2,0.0,0.5581548786947959,guilt
0.05,0.05,0.5,4,PARTNER_RESCUED,TIMEOUT,9,8,timeout,17,0.5,0.16724813408767084,0.12543610056575313,0.2,0.2,0.0,0.6926842346534241,guilt
0.05,0.05,0.5,4,PARTNER_RESCUED,TIMEOUT,9,9,failure,6,0.85,0.6248281070312499,0.3675459453124999,0.3,0.2,0.0,1.4923740523437496,guilt
0.05,0.05,0.5,4,PARTNER_RESCUED,TIMEOUT,9,10,rescue,0,0.7,0.0,0.8,0.1,0.1,0.0,1.0,loyalty
0.05,0.05,0.5,5,TIMEOUT,TIMEOUT,4,0,seed,72,0.9,0.04836019138446626,0.032240127589644174,0.2,0.1,0.0,0.3806003189741104,guilt
0.05,0.05,0.5,5,TIMEOUT,TIMEOUT,4,1,timeout,45,0.5,0.039776102794836884,0.02983207709612768,0.2,0.2,0.0,0.4696081798909646,guilt
0.05,0.05,0.5,5,TIMEOUT,TIMEOUT,4,2,timeout,33,0.5,0.07361036409423032,0.05520777307067275,0.2,0.2,0.0,0.5288181371649031,guilt
0.05,0.05,0.5,5,TIMEOUT,TIMEOUT,4,3,failure,24,0.85,0.24819067068795655,0.14599451216938614,0.3,0.2,0.0,0.8941851828573426,guilt
0.05,0.05,0.5,5,TIMEOUT,TIMEOUT,4,4,timeout,12,0.5,0.21614403506505467,0.162108026298791,0.2,0.2,0.0,0.7782520613638457,guilt
