cell,tau_guilt,tau_loyalty,agent_id,episode_idx,outcome,rescued,n_memories,e_max,was_encoded,target_switches
G0.3_L0.3,0.3,0.3,17,6,TIMEOUT,0,8,1.0,1,0
G0.3_L0.3,0.3,0.3,17,7,PARTNER_RESCUED,1,9,0.8713,1,0
G0.3_L0.3,0.3,0.3,17,8,PARTNER_RESCUED,1,10,0.62,1,0
G0.3_L0.3,0.3,0.3,17,9,TIMEOUT,0,11,1.0,1,1
G0.3_L0.3,0.3,0.3,18,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,18,1,TIMEOUT,0,3,1.0,1,1
G0.3_L0.3,0.3,0.3,18,2,TIMEOUT,0,4,0.6286,1,0
G0.3_L0.3,0.3,0.3,18,3,TIMEOUT,0,5,0.4946,1,1
G0.3_L0.3,0.3,0.3,18,4,TIMEOUT,0,6,0.4717,1,2
G0.3_L0.3,0.3,0.3,18,5,RESOURCE_TAKEN,0,6,0.2707,0,0
G0.3_L0.3,0.3,0.3,18,6,TIMEOUT,0,7,0.4717,1,2
G0.3_L0.3,0.3,0.3,18,7,TIMEOUT,0,8,0.4717,1,1
G0.3_L0.3,0.3,0.3,18,8,TIMEOUT,0,9,0.4717,1,2
G0.3_L0.3,0.3,0.3,18,9,TIMEOUT,0,10,0.4717,1,0
G0.3_L0.3,0.3,0.3,19,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,19,1,TIMEOUT,0,3,1.0,1,1
G0.3_L0.3,0.3,0.3,19,2,TIMEOUT,0,4,0.6715,1,0
G0.3_L0.3,0.3,0.3,19,3,TIMEOUT,0,5,0.4888,1,0
G0.3_L0.3,0.3,0.3,19,4,TIMEOUT,0,6,0.4717,1,2
G0.3_L0.3,0.3,0.3,19,5,TIMEOUT,0,7,0.4717,1,0
G0.3_L0.3,0.3,0.3,19,6,RESOURCE_TAKEN,0,8,0.4717,1,1
G0.3_L0.3,0.3,0.3,19,7,PARTNER_RESCUED,1,9,1.0,1,0
G0.3_L0.3,0.3,0.3,19,8,PARTNER_RESCUED,1,10,0.62,1,0
G0.3_L0.3,0.3,0.3,19,9,TIMEOUT,0,11,1.0,1,1
G0.3_L0.3,0.3,0.3,20,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,20,1,TIMEOUT,0,3,1.0,1,0
G0.3_L0.3,0.3,0.3,20,2,TIMEOUT,0,4,0.6678,1,1
G0.3_L0.3,0.3,0.3,20,3,TIMEOUT,0,5,0.4957,1,3
G0.3_L0.3,0.3,0.3,20,4,TIMEOUT,0,6,0.4717,1,3
G0.3_L0.3,0.3,0.3,20,5,TIMEOUT,0,7,0.4717,1,2
G0.3_L0.3,0.3,0.3,20,6,TIMEOUT,0,8,0.4717,1,1
G0.3_L0.3,0.3,0.3,20,7,RESOURCE_TAKEN,0,9,0.4717,1,0
G0.3_L0.3,0.3,0.3,20,8,PARTNER_RESCUED,1,10,1.0,1,0
G0.3_L0.3,0.3,0.3,20,9,TIMEOUT,0,11,1.0,1,1
G0.3_L0.3,0.3,0.3,21,0,TIMEOUT,0,2,1.0,1,1
G0.3_L0.3,0.3,0.3,21,1,TIMEOUT,0,3,0.8365,1,0
G0.3_L0.3,0.3,0.3,21,2,TIMEOUT,0,4,0.5583,1,0
G0.3_L0.3,0.3,0.3,21,3,TIMEOUT,0,5,0.4717,1,2
G0.3_L0.3,0.3,0.3,21,4,TIMEOUT,0,6,0.4717,1,1
G0.3_L0.3,0.3,0.3,21,5,TIMEOUT,0,7,0.4717,1,1
G0.3_L0.3,0.3,0.3,21,6,TIMEOUT,0,8,0.4717,1,1
G0.3_L0.3,0.3,0.3,21,7,TIMEOUT,0,9,0.4717,1,0
G0.3_L0.3,0.3,0.3,21,8,TIMEOUT,0,10,0.4717,1,3
G0.3_L0.3,0.3,0.3,21,9,RESOURCE_TAKEN,0,10,0.2517,0,0
G0.3_L0.3,0.3,0.3,22,0,TIMEOUT,0,2,1.0,1,1
