kappa,encoding_jitter,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.1,0.0,31,7,TIMEOUT,0,9,0
0.1,0.0,31,8,TIMEOUT,0,10,2
0.1,0.0,31,9,RESOURCE_TAKEN,0,11,1
0.1,0.0,32,0,RESOURCE_TAKEN,0,2,0
0.1,0.0,32,1,TIMEOUT,0,3,2
0.1,0.0,32,2,TIMEOUT,0,4,1
0.1,0.0,32,3,RESOURCE_TAKEN,0,5,0
0.1,0.0,32,4,RESOURCE_TAKEN,0,6,0
0.1,0.0,32,5,RESOURCE_TAKEN,0,7,0
0.1,0.0,32,6,TIMEOUT,0,8,0
0.1,0.0,32,7,TIMEOUT,0,9,1
0.1,0.0,32,8,TIMEOUT,0,10,0
0.1,0.0,32,9,TIMEOUT,0,11,0
0.1,0.0,33,0,TIMEOUT,0,2,0
0.1,0.0,33,1,RESOURCE_TAKEN,0,3,0
0.1,0.0,33,2,TIMEOUT,0,4,0
0.1,0.0,33,3,TIMEOUT,0,5,0
0.1,0.0,33,4,TIMEOUT,0,6,1
0.1,0.0,33,5,RESOURCE_TAKEN,0,7,0
0.1,0.0,33,6,TIMEOUT,0,8,2
0.1,0.0,33,7,TIMEOUT,0,9,0
0.1,0.0,33,8,TIMEOUT,0,10,0
0.1,0.0,33,9,TIMEOUT,0,11,1
0.1,0.0,34,0,RESOURCE_TAKEN,0,2,0
0.1,0.0,34,1,TIMEOUT,0,3,0
0.1,0.0,34,2,RESOURCE_TAKEN,0,4,0
0.1,0.0,34,3,TIMEOUT,0,5,0
0.1,0.0,34,4,TIMEOUT,0,6,0
0.1,0.0,34,5,TIMEOUT,0,7,0
0.1,0.0,34,6,RESOURCE_TAKEN,0,8,0
0.1,0.0,34,7,RESOURCE_TAKEN,0,9,0
0.1,0.0,34,8,RESOURCE_TAKEN,0,10,0
0.1,0.0,34,9,RESOURCE_TAKEN,0,11,0
0.1,0.0,35,0,TIMEOUT,0,2,0
0.1,0.0,35,1,RESOURCE_TAKEN,0,3,0
0.1,0.0,35,2,TIMEOUT,0,4,0
0.1,0.0,35,3,TIMEOUT,0,5,2
0.1,0.0,35,4,TIMEOUT,0,6,1
0.1,0.0,35,5,TIMEOUT,0,7,0
0.1,0.0,35,6,RESOURCE_TAKEN,0,8,0
0.1,0.0,35,7,RESOURCE_TAKEN,0,9,0
0.1,0.0,35,8,TIMEOUT,0,10,0
0.1,0.0,35,9,TIMEOUT,0,11,1
0.1,0.0,36,0,TIMEOUT,0,2,0
0.1,0.0,36,1,RESOURCE_TAKEN,0,3,0
0.1,0.0,36,2,RESOURCE_TAKEN,0,4,0
0.1,0.0,36,3,TIMEOUT,0,5,0
0.1,0.0,36,4,TIMEOUT,0,6,0
0.1,0.0,36,5,RESOURCE_TAKEN,0,7,0
0.1,0.0,36,6,RESOURCE_TAKEN,0,8,0
0.1,0.0,36,7,TIMEOUT,0,9,1
0.1,0.0,36,8,TIMEOUT,0,10,1
0.1,0.0,36,9,RESOURCE_TAKEN,0,11,0
0.1,0.0,37,0,RESOURCE_TAKEN,0,2,0
0.1,0.0,37,1,TIMEOUT,0,3,0
0.1,0.0,37,2,RESOURCE_TAKEN,0,4,0
0.1,0.0,37,3,RESOURCE_TAKEN,0,5,0
0.1,0.0,37,4,TIMEOUT,0,6,0
0.1,0.0,37,5,RESOURCE_TAKEN,0,7,0
0.1,0.0,37,6,TIMEOUT,0,8,0
0.1,0.0,37,7,TIMEOUT,0,9,0
0.1,0.0,37,8,TIMEOUT,0,10,1
0.1,0.0,37,9,RESOURCE_TAKEN,0,11,0
0.1,0.0,38,0,TIMEOUT,0,2,0
0.1,0.0,38,1,TIMEOUT,0,3,0
0.1,0.0,38,2,RESOURCE_TAKEN,0,4,0
0.1,0.0,38,3,TIMEOUT,0,5,0
0.1,0.0,38,4,RESOURCE_TAKEN,0,6,0
0.1,0.0,38,5,TIMEOUT,0,7,2
0.1,0.0,38,6,TIMEOUT,0,8,0
0.1,0.0,38,7,TIMEOUT,0,9,0
0.1,0.0,38,8,TIMEOUT,0,10,1
0.1,0.0,38,9,TIMEOUT,0,11,1
0.1,0.0,39,0,TIMEOUT,0,2,2
0.1,0.0,39,1,TIMEOUT,0,3,0
0.1,0.0,39,2,RESOURCE_TAKEN,0,4,0
0.1,0.0,39,3,TIMEOUT,0,5,0
0.1,0.0,39,4,TIMEOUT,0,6,2
0.1,0.0,39,5,RESOURCE_TAKEN,0,7,0
0.1,0.0,39,6,TIMEOUT,0,8,0
0.1,0.0,39,7,RESOURCE_TAKEN,0,9,1
0.1,0.0,39,8,TIMEOUT,0,10,2
0.1,0.0,39,9,TIMEOUT,0,11,0
0.1,0.0,40,0,RESOURCE_TAKEN,0,2,0
0.1,0.0,40,1,TIMEOUT,0,3,0
0.1,0.0,40,2,TIMEOUT,0,4,0
0.1,0.0,40,3,TIMEOUT,0,5,2
0.1,0.0,40,4,RESOURCE_TAKEN,0,6,0
0.1,0.0,40,5,TIMEOUT,0,7,0
0.1,0.0,40,6,TIMEOUT,0,8,0
0.1,0.0,40,7,RESOURCE_TAKEN,0,9,0
0.1,0.0,40,8,RESOURCE_TAKEN,0,10,0
0.1,0.0,40,9,TIMEOUT,0,11,3
0.1,0.0,41,0,TIMEOUT,0,2,0
0.1,0.0,41,1,TIMEOUT,0,3,1
0.1,0.0,41,2,RESOURCE_TAKEN,0,4,0
0.1,0.0,41,3,RESOURCE_TAKEN,0,5,0
0.1,0.0,41,4,RESOURCE_TAKEN,0,6,1
0.1,0.0,41,5,TIMEOUT,0,7,0
0.1,0.0,41,6,TIMEOUT,0,8,2
0.1,0.0,41,7,TIMEOUT,0,9,1
0.1,0.0,41,8,RESOURCE_TAKEN,0,10,0
0.1,0.0,41,9,TIMEOUT,0,11,0
0.1,0.0,42,0,TIMEOUT,0,2,0
0.1,0.0,42,1,RESOURCE_TAKEN,0,3,0
0.1,0.0,42,2,TIMEOUT,0,4,3
0.1,0.0,42,3,TIMEOUT,0,5,0
0.1,0.0,42,4,RESOURCE_TAKEN,0,6,0
0.1,0.0,42,5,TIMEOUT,0,7,0
0.1,0.0,42,6,RESOURCE_TAKEN,0,8,0
0.1,0.0,42,7,TIMEOUT,0,9,0
0.1,0.0,42,8,TIMEOUT,0,10,0
0.1,0.0,42,9,RESOURCE_TAKEN,0,11,0
0.1,0.0,43,0,TIMEOUT,0,2,0
0.1,0.0,43,1,RESOURCE_TAKEN,0,3,0
0.1,0.0,43,2,TIMEOUT,0,4,0
0.1,0.0,43,3,RESOURCE_TAKEN,0,5,0
0.1,0.0,43,4,RESOURCE_TAKEN,0,6,0
0.1,0.0,43,5,TIMEOUT,0,7,2
0.1,0.0,43,6,TIMEOUT,0,8,0
0.1,0.0,43,7,TIMEOUT,0,9,0
0.1,0.0,43,8,RESOURCE_TAKEN,0,10,0
0.1,0.0,43,9,RESOURCE_TAKEN,0,11,0
0.1,0.0,44,0,TIMEOUT,0,2,0
0.1,0.0,44,1,RESOURCE_TAKEN,0,3,0
0.1,0.0,44,2,RESOURCE_TAKEN,0,4,0
0.1,0.0,44,3,RESOURCE_TAKEN,0,5,0
0.1,0.0,44,4,TIMEOUT,0,6,1
0.1,0.0,44,5,TIMEOUT,0,7,0
0.1,0.0,44,6,RESOURCE_TAKEN,0,8,0
0.1,0.0,44,7,RESOURCE_TAKEN,0,9,0
0.1,0.0,44,8,RESOURCE_TAKEN,0,10,1
0.1,0.0,44,9,TIMEOUT,0,11,1
0.1,0.0,45,0,TIMEOUT,0,2,0
0.1,0.0,45,1,TIMEOUT,0,3,2
0.1,0.0,45,2,RESOURCE_TAKEN,0,4,0
0.1,0.0,45,3,RESOURCE_TAKEN,0,5,0
0.1,0.0,45,4,TIMEOUT,0,6,0
0.1,0.0,45,5,RESOURCE_TAKEN,0,7,0
0.1,0.0,45,6,TIMEOUT,0,8,1
0.1,0.0,45,7,TIMEOUT,0,9,0
0.1,0.0,45,8,RESOURCE_TAKEN,0,10,0
0.1,0.0,45,9,TIMEOUT,0,11,1
0.1,0.0,46,0,RESOURCE_TAKEN,0,2,0
0.1,0.0,46,1,TIMEOUT,0,3,1
0.1,0.0,46,2,TIMEOUT,0,4,0
